t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,-2.0,4.800000000000004,0.0,0.0
180.0,-2.1472605996344485,4.484855291845092,807.2739525321165,0.0
360.0,-2.208428708333851,4.3726900587833395,1594.3581631131176,0.0
540.0,-2.2438891090929336,4.320145675381222,2371.9843846817375,0.0
720.0,-2.2685575602764465,4.291740572580398,3144.497687746209,0.0
900.0,-2.2882646228297583,4.27350055214268,3913.7277871318915,0.0
1080.0,-2.305598158655796,4.259154227619236,4680.375548103354,0.0
1260.0,-2.3217378689181425,4.245800882685626,5444.619706986767,0.0
1440.0,-2.337223730199784,4.232084996301887,6206.395006321106,0.0
1620.0,-2.3523019452263445,4.217367777546894,6965.521206279547,0.0
1800.0,-2.367083433404742,4.201344387650197,7721.763196056582,0.0
1980.0,-2.3816167953923215,4.1838662130729665,8474.859114409715,0.0
2160.0,-2.395921952995037,4.164858233875266,9224.533596507263,0.0
2340.0,-2.410005664168915,4.144280599576118,9970.504104430964,0.0
2520.0,-2.4238686786912913,4.122110767507347,10712.484042582286,0.0
2700.0,-2.4375090383876574,4.098335203977949,11450.184379298316,0.0
2880.0,-2.4509235995704883,4.072945530375213,12183.314574765855,0.0
3060.0,-2.464108735961201,4.045936733586635,12911.58318681145,0.0
3240.0,-2.4770606639336945,4.017306333855194,13634.698326905384,0.0
3420.0,-2.489775593723434,3.987053995677186,14352.368046127278,0.0
3600.0,-2.5022498004233893,3.955181342837988,15064.300687838117,0.0
3780.0,-2.5144796579734106,3.921691866706754,15770.205223845333,0.0
3960.0,-2.5264616560322484,3.886590876378653,16469.79158159349,0.0
4140.0,-2.5381924088840058,3.849885466861888,17162.77096562863,0.0
4320.0,-2.549668660588666,3.8115844943179273,17848.85617460586,0.0
4500.0,-2.5608872883124154,3.771698553306342,18527.761914201,0.0
4680.0,-2.571845304727929,3.7302399537408526,19199.205105874353,0.0
4860.0,-2.582539859894171,3.687222696540863,19862.90519125171,0.0
5040.0,-2.5929682428046057,3.6426624475547698,20518.584431811567,0.0
5220.0,-2.6031278826913895,3.5965765096063422,21165.96820354071,0.0
5400.0,-2.6130163501268044,3.548983792642835,21804.785286216418,0.0
5580.0,-2.6226313579419323,3.499904782022863,22434.768146980532,0.0
5760.0,-2.6319707619730357,3.4493615050097026,23055.653217882278,0.0
5940.0,-2.641032561641704,3.3973774955484863,23667.181167081006,0.0
6120.0,-2.6498149003729945,3.3439777574116114,24269.097163415096,0.0
6300.0,-2.658316065854971,3.289188725799196,24861.15113405895,0.0
6480.0,-2.66653449014273,3.2330382274823544,25443.098015005773,0.0
6660.0,-2.674468749610011,3.175555439576851,26014.697994129605,0.0
6840.0,-2.6821175647513873,3.1167708470345525,26575.716746595823,0.0
7020.0,-2.6894797998382165,3.056716198938795,27125.925662404807,0.0
7200.0,-2.6965544624314908,2.9954244636892122,27665.102065868865,0.0
7380.0,-2.7033407027548826,2.932929783159837,28193.029426837635,0.0
7560.0,-2.709837812931295,2.869267425913265,28709.497563502024,0.0
7740.0,-2.7160452260862593,2.80447373955187,29214.302836621362,0.0
7920.0,-2.721962515321646,2.7385861022854656,29707.248335032746,0.0
8100.0,-2.7275893925630887,2.6716428737930906,30188.144052315503,0.0
8280.0,-2.7329257072846334,2.6036833454545607,30656.807054497323,0.0
8460.0,-2.7379714451140775,2.534747690025668,31113.061638701944,0.0
8640.0,-2.742726726322537,2.4648769108286706,31556.739482651104,0.0
8820.0,-2.7471918042016994,2.394112790527862,31987.679784946118,0.0
9000.0,-2.7513670633322937,2.3224978395577747,32405.72939606652,0.0
9180.0,-2.755253017747288,2.250075244269195,32810.74294003497,0.0
9360.0,-2.758850308993229,2.1768888148564898,33202.58292670914,0.0
9540.0,-2.762159704093245,2.102982933127028,33581.119854672004,0.0
9720.0,-2.7651820934150777,2.0284025001716195,33946.2323047029,0.0
9900.0,-2.767918488447601,1.95319288399246,34297.807023821544,0.0
10080.0,-2.7703700194891514,1.877399867143104,34635.738999907306,0.0
10260.0,-2.7725379332510074,1.8010695944326935,34959.93152690519,0.0
10440.0,-2.7744235903793224,1.7242485207445333,35270.2962606392,0.0
10620.0,-2.77602846289876,1.6469833590170302,35566.75326526227,0.0
10800.0,-2.777354131581028,1.5693210284330903,35849.23105038022,0.0
10980.0,-2.7784022832415047,1.4913086028617872,36117.66659889535,0.0
11160.0,-2.7791747079670426,1.4129932595945356,36372.00538562236,0.0
11340.0,-2.7796732962780792,1.3344222284157576,36612.20138673719,0.0
11520.0,-2.779900036228054,1.25564274104653,36838.21708012557,0.0
11700.0,-2.7798570104431493,1.176701980997749,37050.02343670517,0.0
11880.0,-2.779546393105297,1.0976470338678377,37247.599902801376,0.0
12060.0,-2.7789704468813836,1.0185248381182948,37430.93437366267,0.0
12240.0,-2.7781315198015,0.9393821363590704,37600.0231582073,0.0
12420.0,-2.7770320420891217,0.8602654271740974,37754.87093509864,0.0
12600.0,-2.77567452294597,0.7812209175163212,37895.490700251576,0.0
12780.0,-2.7740615472944006,0.7022944756998837,38021.90370587756,0.0
12960.0,-2.7721957724799884,0.6235315850165689,38134.13939118054,0.0
13140.0,-2.7700799249371033,0.5449772980019455,38232.23530482089,0.0
13320.0,-2.7677167968201286,0.4666761913762057,38316.23701926861,0.0
13500.0,-2.7651092426030286,0.3886723216835829,38386.19803717165,0.0
13680.0,-2.7622601756499376,0.31100918165344593,38442.17968986927,0.0
13860.0,-2.759172564759406,0.23372965730577608,38484.25102818431,0.0
14040.0,-2.7558494306849894,0.15687598582279688,38512.488705632415,0.0
14220.0,-2.7522938426347947,0.08048971420839224,38526.976854189925,0.0
14400.0,-2.7485089147526702,0.004611658756307855,38527.80695276606,0.0
14580.0,-2.74449780258366,-0.07071813465191656,38515.07768852872,0.0
14760.0,-2.740263699526433,-0.14546042939880915,38488.89481123693,0.0
14940.0,-2.7358098332753404,-0.21957683611199783,38449.37098073677,0.0
15120.0,-2.7311394622548057,-0.2930298497539349,38396.62560778106,0.0
15300.0,-2.7262558720488057,-0.3657828857998956,38330.78468833708,0.0
15480.0,-2.721162371828148,-0.4378003154833981,38251.98063155007,0.0
15660.0,-2.7158622907783876,-0.5090475000883583,38160.35208153416,0.0
15840.0,-2.7103589745311614,-0.5794908242667004,38056.04373316615,0.0
16020.0,-2.704655781601834,-0.6490977283599896,37939.20614206135,0.0
16200.0,-2.69875607983635,-0.7178367397032123,37809.99552891478,0.0
16380.0,-2.692663242870252,-0.7856775028882826,37668.573578394884,0.0
16560.0,-2.6863806466028888,-0.8525908089645208,37515.10723278127,0.0
16740.0,-2.679911665689866,-0.9185486235526316,37349.768480541796,0.0
16920.0,-2.6732596700568574,-0.9835241138481504,37172.73414004913,0.0
17100.0,-2.6664280214379756,-1.0474916744897855,36984.18563864096,0.0
17280.0,-2.6594200699419526,-1.1104269522673509,36784.30878723284,0.0
17460.0,-2.6522391506494207,-1.172306869643275,36573.29355069705,0.0
17640.0,-2.6448885802447073,-1.2331096470611151,36351.333814226055,0.0
17820.0,-2.637371653685574,-1.2928148240136803,36118.62714590359,0.0
18000.0,-2.629691640914444,-1.3514032788427979,35875.37455571189,0.0
18180.0,-2.6218517836146766,-1.408857247241884,35621.78025120835,0.0
18360.0,-2.6138552920155984,-1.4651603394321187,35358.051390110566,0.0
18540.0,-2.605705341749982,-1.5202975559820446,35084.3978300338,0.0
18720.0,-2.597405070767826,-1.5742553022401422,34801.03187563057,0.0
18900.0,-2.5889575763102775,-1.627021401349121,34508.16802338773,0.0
19080.0,-2.5803659119476414,-1.6785851058102443,34206.022704341885,0.0
19260.0,-2.5716330846855184,-1.7289371075657114,33894.814024980056,0.0
19440.0,-2.562762052143098,-1.7780695465664902,33574.761506598086,0.0
19620.0,-2.553755719807758,-1.825976017792899,33246.08582339536,0.0
19800.0,-2.5446169383701545,-1.8726515766950431,32909.00853959026,0.0
19980.0,-2.5353485011440178,-1.9180927430199608,32563.751845846666,0.0
20160.0,-2.5259531415749534,-1.9622975029925573,32210.538295308004,0.0
20340.0,-2.516433530842521,-2.0052653098173625,31849.590539540877,0.0
20520.0,-2.506792275559965,-2.046997082468486,31481.13106469655,0.0
