t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,-2.0,9.600000000000009,0.0,0.0
180.0,-2.2625731209971893,8.41138083329149,1514.0485499924682,0.0
360.0,-2.3782391942368597,7.916070274576514,2938.941199416241,0.0
540.0,-2.45029638615867,7.623625175550542,4311.193731015339,0.0
720.0,-2.500754801123134,7.430100435879578,5648.611809473663,0.0
900.0,-2.5385489175830065,7.293366639923174,6961.4178046598345,0.0
1080.0,-2.5685351461772816,7.190399063963803,8255.68963617332,0.0
1260.0,-2.593601048569308,7.107389495996552,9535.019745452699,0.0
1440.0,-2.6155059786939945,7.035842187337162,10801.471339173388,0.0
1620.0,-2.635328175339675,6.970495792518488,12056.160581826716,0.0
1800.0,-2.6537286896934993,6.90808874268904,13299.616555510744,0.0
1980.0,-2.6711121320861158,6.846601021469689,14532.004739375288,0.0
2160.0,-2.6877254201491643,6.784784256821674,15753.26590560319,0.0
2340.0,-2.703718563213384,6.721869875184416,16963.202483136385,0.0
2520.0,-2.719182083091948,6.657387819158248,18161.53229058487,0.0
2700.0,-2.7341700420390826,6.591053988627135,19347.922008537753,0.0
2880.0,-2.7487142056220053,6.522700389391296,20522.008078628187,0.0
3060.0,-2.762832747939408,6.452231806414338,21683.409803782768,0.0
3240.0,-2.776535598885091,6.379598939338796,22831.73761286375,0.0
3420.0,-2.7898277265962435,6.304781747589142,23966.598327429798,0.0
3600.0,-2.802711151001595,6.227779122438022,25087.598569468642,0.0
3780.0,-2.815186178039653,6.148602476878994,26194.347015306863,0.0
3960.0,-2.8272521554938765,6.067271759551943,27286.455932026212,0.0
4140.0,-2.838907935326394,5.983812967252953,28363.542266131743,0.0
4320.0,-2.8501521560193783,5.898256583094097,29425.22845108868,0.0
4500.0,-2.8609834145717983,5.810636585909017,30471.1430365523,0.0
4680.0,-2.871400370861699,5.720989811863184,31500.921202687674,0.0
4860.0,-2.881401810550815,5.629355533011264,32514.2051986297,0.0
5040.0,-2.8909866825669694,5.535775169363289,33510.64472911509,0.0
5220.0,-2.9001541209830806,5.440292083045871,34489.89730406335,0.0
5400.0,-2.9089034573029258,5.342951422920442,35451.62856018903,0.0
5580.0,-2.91723422683202,5.243800000222006,36395.512560228985,0.0
5760.0,-2.9251461713848967,5.142886183303844,37321.23207322368,0.0
5940.0,-2.932639239707417,5.040259804205586,38228.478837980685,0.0
6120.0,-2.9397135864591353,4.935972072612102,39116.953811050866,0.0
6300.0,-2.9463695702748547,4.830075494520374,39986.36740006453,0.0
6480.0,-2.952607751225205,4.722623794005655,40836.439682985554,0.0
6660.0,-2.958428887874521,4.6136718371344365,41666.90061366975,0.0
6840.0,-2.9638339340599194,4.50327555747214,42477.49021401473,0.0
7020.0,-2.9688240354699955,4.391491882876335,43267.95875293247,0.0
7200.0,-2.9734005260737737,4.27837866341236,44038.066912346694,0.0
7380.0,-2.977564924433347,4.1639946003151405,44787.58594040342,0.0
7560.0,-2.981318929923185,4.048399175971506,45516.297792078294,0.0
7740.0,-2.984664418872405,3.931652584925899,46223.99525736496,0.0
7920.0,-2.9876034406422227,3.8138156659272155,46910.482077231856,0.0
8100.0,-2.990138213648102,3.6949498350414607,47575.57304753932,0.0
8280.0,-2.9922711213343254,3.575117019856832,48219.094111113554,0.0
8460.0,-2.994004708107536,3.4543795948069773,48840.88243817881,0.0
8640.0,-2.9953416752348905,3.3328003176353818,49440.786495353175,0.0
8820.0,-2.9962848767117825,3.2104422670207335,50018.66610341691,0.0
9000.0,-2.996837315103592,3.0873687813787956,50574.392484065094,0.0
9180.0,-2.997002137365426,2.9636433988524526,51107.84829585854,0.0
9360.0,-2.996782630643415,2.8393297984974413,51618.92765958808,0.0
9540.0,-2.996182218060798,2.714491742667328,52107.5361732682,0.0
9720.0,-2.995204454491656,2.589193020597257,52573.59091697571,0.0
9900.0,-2.993853022324877,2.463497393182772,53017.020447748604,0.0
10080.0,-2.9921317272205927,2.3374685389462067,53437.76478475892,0.0
10260.0,-2.9900444938611086,2.2111700011802817,53835.77538497137,0.0
10440.0,-2.9875953616980424,2.0846651362554915,54211.015109497355,0.0
10620.0,-2.9847884806971385,1.9580170630751605,54563.45818085088,0.0
10800.0,-2.9816281070820274,1.8312886136597857,54893.09013130964,0.0
10980.0,-2.9781185990779453,1.7045422848398128,55199.90774258081,0.0
11160.0,-2.9742644126562094,1.5778401910344326,55483.918976967005,0.0
11340.0,-2.970070097280112,1.4512440180917374,55745.142900223516,0.0
11520.0,-2.9655402916526534,1.3248149781645469,55983.609596293136,0.0
11700.0,-2.9606797194663854,1.1986137655947173,56199.36007410019,0.0
11880.0,-2.9554931851555266,1.0727005137775707,56392.44616658015,0.0
12060.0,-2.9499855696503072,0.9471347529774415,56562.93042211609,0.0
12240.0,-2.9441618261334184,0.8219753690646714,56710.885988547736,0.0
12420.0,-2.9380269757983255,0.6972805631436191,56836.39648991359,0.0
12600.0,-2.9315861036091064,0.5731078120414673,56939.55589608105,0.0
12780.0,-2.924844354061371,0.44951382962712944,57020.46838541394,0.0
12960.0,-2.9178069269437867,0.3265545289300156,57079.24820062134,0.0
13140.0,-2.910479073099652,0.20428498502843095,57116.019497926456,0.0
13320.0,-2.902866090187917,0.08275939867807519,57130.91618968851,0.0
13500.0,-2.8949733184430455,-0.03796893934825023,57124.081780605826,0.0
13680.0,-2.8868061364330675,-0.15784768323799203,57095.669197622985,0.0
13860.0,-2.878369956815196,-0.2768254664601401,57045.84061366016,0.0
14040.0,-2.869670222088365,-0.394851935456516,56974.76726527799,0.0
14220.0,-2.8607124003421225,-0.5118777827277151,56882.629264387,0.0
14400.0,-2.851501981001282,-0.6278547793366432,56769.6154041064,0.0
14580.0,-2.8420444705658543,-0.7427358068512177,56635.92295887318,0.0
14760.0,-2.832345388345818,-0.8564748887459073,56481.75747889892,0.0
14940.0,-2.822410262190357,-0.9690272212797,56307.33257906858,0.0
15120.0,-2.812244624211342,-1.0803492038662335,56112.869722372656,0.0
