t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,0.0,19.200000000000017,0.0,0.5
180.0,-0.01921264589811314,19.27347004367522,3469.22460786154,0.4807873541018869
360.0,-0.037233537224606844,19.348927459643143,6952.031550597306,0.46276646277539313
540.0,-0.05423478343058961,19.42550939129856,10448.623241031048,0.44576521656941037
720.0,-0.07033299419542943,19.502602319645135,13959.091658567173,0.42966700580457057
900.0,-0.08561654080701973,19.57971712511008,17483.440741086986,0.41438345919298025
1080.0,-0.10015863693307263,19.656428962322405,21021.59795430502,0.39984136306692736
1260.0,-0.11402281670055577,19.732352596300167,24573.42142163905,0.38597718329944425
1440.0,-0.12726537881922126,19.807131963186254,28138.705175012576,0.3727346211807787
1620.0,-0.13993666490195425,19.88043516920687,31717.183505469813,0.3600633350980458
1800.0,-0.15208187109208612,19.951951617214522,35308.53479656843,0.34791812890791385
1980.0,-0.16374165224285653,20.021390030530306,38912.38500206388,0.33625834775714347
2160.0,-0.17495261692968284,20.088476910991982,42528.310846042434,0.32504738307031716
2340.0,-0.18574775275653374,20.152955249986782,46155.84279104006,0.31425224724346623
2520.0,-0.1961567996859296,20.214583415451425,49794.46780582131,0.3038432003140704
2700.0,-0.2062065808597369,20.273134177036223,53443.63195768783,0.29379341914026313
2880.0,-0.21592129703330337,20.328393847009934,57102.74285014962,0.28407870296669663
3060.0,-0.22532278922095283,20.380161521046684,60771.17192393802,0.27467721077904717
3240.0,-0.23443077332156495,20.42824840628039,64448.25663706849,0.2655692266784351
3420.0,-0.24326304994784498,20.472477225950172,68133.30253773952,0.256736950052155
3600.0,-0.251835692269453,20.512681691338035,71825.58524218037,0.24816430773054698
3780.0,-0.2601632143398278,20.548706032797284,75524.35232808389,0.2398367856601722
3960.0,-0.2682587220851233,20.580404582604405,79228.82515295268,0.2317412779148767
4140.0,-0.27613404887975185,20.607641403175197,82938.20060552421,0.22386595112024815
4320.0,-0.28379987741011836,20.630289954904477,86651.65279740702,0.21620012258988164
4500.0,-0.2912658493318303,20.64823279852371,90368.33470114128,0.2087341506681697
4680.0,-0.29854066405255597,20.6613613274359,94087.37974007975,0.20145933594744403
4860.0,-0.3056321678199329,20.66957552599101,97807.90333475813,0.1943678321800671
5040.0,-0.31254743415906966,20.67278375011587,101529.00440977898,0.18745256584093034
5220.0,-0.31929283658509044,20.67090252711013,105249.7668646588,0.18070716341490956
5400.0,-0.32587411441098707,20.66385637178209,108969.26101157957,0.17412588558901293
5580.0,-0.33229643237812223,20.65157761641331,112686.54498253396,0.16770356762187777
5760.0,-0.338564434754615,20.634006252330988,116400.66610795354,0.161435565245385
5940.0,-0.3446822944742725,20.611089781118793,120110.66226855492,0.1553177055257275
6120.0,-0.35065375782457664,20.5827830737281,123815.56322182599,0.14934624217542336
6300.0,-0.3564821851355077,20.54904823595475,127514.39190429784,0.14351781486449228
6480.0,-0.3621705878708121,20.509854478929377,131206.16571050513,0.13782941212918792
6660.0,-0.36772166247893134,20.465177993434523,134889.89774932334,0.13227833752106866
6840.0,-0.3731378213215249,20.415001827007313,138564.59807818464,0.1268621786784751
7020.0,-0.37842122096274383,20.35931576291877,142229.27491551003,0.12157877903725617
7200.0,-0.38357378807161585,20.298116200238788,145882.935831553,0.11642621192838415
7380.0,-0.3885972431626268,20.231406034301784,149524.58891772732,0.11140275683737322
7560.0,-0.39349312237540457,20.159194536981843,153153.24393438405,0.10650687762459543
7740.0,-0.39826279747298876,20.08149723627306,156767.9134369132,0.10173720252701124
7920.0,-0.4029074942191645,19.998335794745124,160367.6138799673,0.0970925057808355
8100.0,-0.40742830927847806,19.90973788651369,163951.36669953977,0.09257169072152194
8280.0,-0.41182622576759226,19.8157370724263,167518.1993725765,0.08817377423240774
8460.0,-0.41610212757335213,19.716372673219258,171067.14645375597,0.08389787242664787
8640.0,-0.4202568125411258,19.611689640450127,174597.250589037,0.07974318745887421
8820.0,-0.42429100462649916,19.501738425054768,178107.56350554686,0.07570899537350084
9000.0,-0.42820536509407214,19.38657484341719,181597.14697736196,0.07179463490592786
9180.0,-0.43200050283880204,19.26625994087554,185065.07376671955,0.06799949716119796
9360.0,-0.4356769838979561,19.140859852619457,188510.42854019106,0.06432301610204388
9540.0,-0.43923534021514643,19.010445661961775,191932.3087593442,0.06076465978485357
9720.0,-0.4426760777120614,18.87509325599283,195329.8255454229,0.05732392228793859
9900.0,-0.44599968371826915,18.734883178647493,198702.10451757946,0.054000316281730854
10080.0,-0.4492066338048033,18.58990048123546,202048.28660420183,0.0507933661951967
10260.0,-0.45229739806307073,18.440234570502017,205367.5288268922,0.04770260193692927
10440.0,-0.4552724468668924,18.28597905430287,208659.0050566667,0.04472755313310761
10620.0,-0.45813225615215536,18.12723158498944,211921.9067419648,0.04186774384784464
10800.0,-0.4608773122455724,17.96409370061311,215155.44360807518,0.03912268775442762
10980.0,-0.4635081162713699,17.79667066406802,218358.84432760742,0.0364918837286301
11160.0,-0.4660251881623305,17.625071300300263,221531.35716166146,0.03397481183766948
11340.0,-0.4684290702994657,17.44940783171878,224672.25057137085,0.03157092970053432
11520.0,-0.4707203308026615,17.269795711951915,227780.8137995222,0.029279669197338487
11700.0,-0.47289956649290554,17.086353458096706,230856.3574219796,0.027100433507094457
11880.0,-0.47496740554514055,16.899202481614374,233898.2138686702,0.025032594454859447
12060.0,-0.4769245098493817,16.708466918029202,236905.73791391545,0.023075490150618327
12240.0,-0.47877157709646595,16.51427345559085,239878.30713592182,0.02122842290353405
12420.0,-0.48050934260365835,16.316751163062648,242815.3223452731,0.01949065739634165
12600.0,-0.48213858089430045,16.116031316800548,245716.2079822972,0.01786141910569955
12780.0,-0.4836601070447571,15.912247227289086,248580.41248320925,0.016339892955242907
12960.0,-0.48507477781106123,15.705534065300519,251407.40861496335,0.01492522218893877
13140.0,-0.48638349254689456,15.496028687845184,254196.6937787755,0.013616507453105442
13320.0,-0.4875871939238412,15.283869464079899,256947.79028230987,0.0124128060761588
13500.0,-0.48868686846421594,15.069196101341614,259660.24558055136,0.01131313153578406
13680.0,-0.4896835468961954,14.852149471473219,262333.63248541654,0.01031645310380458
13860.0,-0.4905783043404481,14.632871437606084,264967.5493441856,0.00942169565955192
14040.0,-0.4913722603369889,14.411504681565075,267561.6201868673,0.008627739663011114
14220.0,-0.4920665787205351,14.18819253205799,270115.49484263774,0.007933421279464892
14400.0,-0.4926624673522473,13.963078793811677,272628.8490255238,0.00733753264775272
14580.0,-0.4931611777153692,13.736307577814515,275101.3843895304,0.0068388222846307856
14760.0,-0.4935640043819435,13.508023132823377,277532.8285534386,0.0064359956180565225
14940.0,-0.4938722843574702,13.278369678290996,279922.935095531,0.006127715642529785
15120.0,-0.4940873963100948,13.047491238868101,282271.48351852724,0.005912603689905205
15300.0,-0.4942107596906434,12.815531480631515,284578.2791850409,0.005789240309356625
15480.0,-0.49424383374958986,12.582633549188527,286843.1532238948,0.005756166250410144
15660.0,-0.49418811645681004,12.34893990980468,289065.9624076597,0.005811883543189955
15840.0,-0.4940451433297742,12.114592189699332,291246.5890018056,0.005954856670225828
16020.0,-0.49381648617564033,11.879731022652175,293384.940585883,0.0061835138243596655
