t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,0.0,9.600000000000009,0.0,0.0
180.0,-0.36430954296400053,8.801275601970932,1584.2296083547678,0.0
360.0,-0.5372047397706927,8.453599666927616,3105.8775484017387,0.0
540.0,-0.6518147031547207,8.241054424210013,4589.267344759541,0.0
720.0,-0.7365876864810563,8.09657583503346,6046.650995065564,0.0
900.0,-0.8028587032861133,7.993582261910745,7485.495802209498,0.0
1080.0,-0.8569657988709182,7.917164713697265,8910.585450675006,0.0
1260.0,-0.9029084926868614,7.857840279209672,10324.996700932747,0.0
1440.0,-0.9433044076543358,7.8093410689821425,11730.678093349532,0.0
1620.0,-0.9798842394432179,7.767477911977469,13128.824117505475,0.0
1800.0,-1.0137948754253607,7.729442408660235,14520.123751064319,0.0
1980.0,-1.0457961626797916,7.6933505775529945,15904.926855023858,0.0
2160.0,-1.0763909179749522,7.657938729464579,17283.355826327483,0.0
2340.0,-1.1059112556856812,7.622359706847974,18655.380573560116,0.0
2520.0,-1.134575976384497,7.5860461987151835,20020.86888932885,0.0
2700.0,-1.1625287183381467,7.548619048156356,21379.620317996993,0.0
2880.0,-1.1898633126176055,7.50982576132727,22731.3889550359,0.0
3060.0,-1.2166406270817491,7.469499285926977,24075.89882650276,0.0
3240.0,-1.2428997513890767,7.427530387518404,25412.85429625607,0.0
3420.0,-1.2686654209496449,7.383849143279195,26741.947142046327,0.0
3600.0,-1.2939529422675762,7.338412545674276,28062.861400267695,0.0
3780.0,-1.3187714590698383,7.291196198272296,29375.27671595671,0.0
3960.0,-1.343126117084562,7.242188750678261,30678.870691078795,0.0
4140.0,-1.3670194980613921,7.191388165802036,31973.320560923163,0.0
4320.0,-1.3904525691126017,7.138799212092275,33258.304419099775,0.0
4500.0,-1.4134253107034696,7.084431774145723,34533.502138446005,0.0
4680.0,-1.4359371316503613,7.028299709669311,35798.59608618648,0.0
4860.0,-1.4579871429853155,6.970420070914811,37053.27169895115,0.0
5040.0,-1.4795743383212474,6.9108125690533955,38297.21796138076,0.0
5220.0,-1.5006977122811942,6.849499200338575,39530.1278174417,0.0
