t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,2.0,28.79999999999996,0.0,0.5
180.0,1.956667217674331,28.840449396905065,5191.2808914429115,0.45666721767433094
360.0,1.9218695846139815,28.91667290088432,10396.28201360209,0.4218695846139815
540.0,1.8932175908971245,29.01775335169209,15619.477616906664,0.3932175908971245
720.0,1.8689119269583274,29.135308007595604,20863.833058273874,0.3689119269583274
900.0,1.8476513897009277,29.26315055396478,26131.200157987536,0.3476513897009277
1080.0,1.8285228138711072,29.396839527765803,31422.63127298538,0.32852281387110716
1260.0,1.8108946129688306,29.533217601632842,36738.61044127929,0.3108946129688306
1440.0,1.7943324348621155,29.67003770967941,42079.21722902158,0.29433243486211547
1620.0,1.77853784248178,29.805687171727907,47444.24091993261,0.27853784248177993
1800.0,1.7633053993334944,29.93899244219021,52833.25955952684,0.2633053993334944
1980.0,1.7484931561382395,30.069083555971144,58245.69459960165,0.24849315613823952
2160.0,1.734002516323282,30.195300874885323,63680.84875708101,0.23400251632328195
2340.0,1.7197645473401066,30.317131212253184,69137.93237528659,0.21976454734010664
2520.0,1.7057306843064743,30.434164167261674,74616.0819253937,0.20573068430647434
2700.0,1.691866414743627,30.546062298071522,80114.37313904657,0.1918664147436271
2880.0,1.6781469831056162,30.652540750108894,85631.83047406617,0.17814698310561616
3060.0,1.664554463053789,30.753353337901196,91167.43407488838,0.16455446305378896
3240.0,1.6510757560815474,30.848283029888773,96720.12502026836,0.15107575608154744
3420.0,1.6377012179530355,30.937135436937183,102288.80939891704,0.13770121795303547
3600.0,1.6244237110956141,31.01973435018237,107872.36158194987,0.12442371109561412
3780.0,1.6112379464429054,31.09591867738116,113469.62694387848,0.11123794644290541
3960.0,1.598140022389283,31.16554033391165,119079.42420398258,0.09814002238928299
4140.0,1.5851270983558938,31.22846278565049,124700.54750539966,0.08512709835589383
4320.0,1.5721971606297669,31.284560037109326,130331.76831207934,0.07219716062976689
4500.0,1.5593488517625997,31.333715923749434,135971.83717835424,0.05934885176259974
4680.0,1.5465813440262888,31.375823612068494,141619.48542852656,0.04658134402628877
4860.0,1.5338942436512664,31.41078524150369,147273.4267719972,0.033894243651266365
5040.0,1.5212875167889512,31.438511662970228,152932.35887133185,0.021287516788951244
5220.0,1.5087614309944584,31.458922243019774,158594.9648750754,0.008761430994458363
5400.0,1.4834649228162529,31.39571719477513,164246.19397013495,0.0
5580.0,1.4605369169350328,31.337938274057073,169887.0228594652,0.0
5760.0,1.4393113720754864,31.281760855015055,175517.73981336792,0.0
5940.0,1.419353425950378,31.224674495705045,181138.18122259484,0.0
6120.0,1.4003761423764451,31.165015899223622,186747.8840844551,0.0
6300.0,1.3821856388931757,31.101658472652485,192346.18260953252,0.0
6480.0,1.3646468642178884,31.03381771283189,197932.26979784225,0.0
6660.0,1.347662537315692,30.960931020607376,203505.2373815516,0.0
6840.0,1.331160191852737,30.882583622495172,209064.10243360072,0.0
7020.0,1.3150841484520999,30.7984626505299,214607.8257106961,0.0
7200.0,1.2993904718566733,30.708328332309264,220135.32481051178,0.0
7380.0,1.2840437396758007,30.61199558241923,225645.48401534723,0.0
7560.0,1.2690149177743004,30.509321946162792,231137.16196565653,0.0
