t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,0.0,9.600000000000009,0.0,0.0
180.0,-0.1992881298857951,9.200782798958471,1656.1409038125248,0.0
360.0,-0.2807360441550927,9.079862563950194,3290.5161653235596,0.0
540.0,-0.3327846549392448,9.02675118720155,4915.331379019839,0.0
720.0,-0.37390257980732133,8.997348824530974,6534.854167435415,0.0
900.0,-0.4105500940418422,8.97608816324884,8150.550036820206,0.0
1080.0,-0.4452412877353941,8.956829863337287,9762.779412220918,0.0
1260.0,-0.47897672430778504,8.937080866186156,11371.453968134425,0.0
1440.0,-0.5121554779039925,8.915811222765898,12976.299988232287,0.0
1620.0,-0.5449351267805763,8.892585265459278,14576.965336014957,0.0
1800.0,-0.5773759755134149,8.867210586800807,16173.063241639102,0.0
1980.0,-0.6094991286874503,8.839595501136722,17764.190431843712,0.0
2160.0,-0.6413099193061612,8.80969106428429,19349.934823414886,0.0
2340.0,-0.6728073676328428,8.77746747704905,20929.878969283716,0.0
2520.0,-0.7039880021312385,8.742904480468614,22503.601775768067,0.0
2700.0,-0.734847404493912,8.705987443894793,24070.67951566913,0.0
2880.0,-0.7653808359295804,8.6667057674686,25630.686553813477,0.0
3060.0,-0.795583492577489,8.625052223772704,27183.195954092564,0.0
3240.0,-0.8254506111793534,8.581022679045459,28727.780036320746,0.0
3420.0,-0.854977514240947,8.534615966339675,30264.010910261888,0.0
3600.0,-0.8841596306810342,8.485833818116575,31791.46099752287,0.0
3780.0,-0.9129925064851285,8.434680820729563,33309.70354525419,0.0
3960.0,-0.9414718112165649,8.381164375607522,34818.31313286354,0.0
4140.0,-0.9695933427429881,8.325294661037717,36316.86617185033,0.0
4320.0,-0.9973530311276603,8.267084592144574,37804.94139843635,0.0
4500.0,-1.024746942067372,8.206549778164916,39282.120358506036,0.0
4680.0,-1.0517712800302201,8.143708476733323,40747.987884318034,0.0
4860.0,-1.0784223911546134,8.078581545141601,42202.13256244352,0.0
5040.0,-1.104696765934118,8.01119238863989,43644.1471923987,0.0
5220.0,-1.1305910416980773,7.941566905890595,45073.629235459004,0.0
5400.0,-1.1561020048922819,7.869733431704321,46490.181253165785,0.0
5580.0,-1.1812265931618213,7.795722677196327,47893.41133506112,0.0
5760.0,-1.2059618972376045,7.719567667505161,49282.933515212055,0.0
5940.0,-1.2303051626278911,7.641303677218055,50658.368177111304,0.0
6120.0,-1.2542537911163227,7.560968163647801,52019.342446567905,0.0
6300.0,-1.2778053420681292,7.478600698106947,53365.49057222716,0.0
6480.0,-1.3009575335464079,7.394242895324126,54696.4542933855,0.0
6660.0,-1.323708243240603,7.307938341147721,56011.883194792084,0.0
6840.0,-1.3460555092095225,7.219732518680334,57311.43504815455,0.0
7020.0,-1.3679975304414342,7.129672732986664,58594.776140092144,0.0
7200.0,-1.3895326672340138,7.037808034515921,59861.58158630501,0.0
