t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,0.0,9.600000000000009,0.0,0.0
180.0,-0.45689797228811574,8.577124425570378,1543.8823966026682,0.0
360.0,-0.6684107859930427,8.133211720878865,3007.860506360864,0.0
540.0,-0.7968808030515268,7.883790380442753,4426.94277484056,0.0
720.0,-0.8840512066224872,7.730332078575296,5818.402548984113,0.0
900.0,-0.9475393529975814,7.631241011167425,7192.02593099425,0.0
1080.0,-0.996883126028856,7.563852814739174,8553.519437647301,0.0
1260.0,-1.0376449700372299,7.514829715366456,9906.188786413262,0.0
1440.0,-1.073127589537182,7.476172026661215,11251.89975121228,0.0
1620.0,-1.1052989104087867,7.443060722862965,12591.650681327614,0.0
1800.0,-1.1353313092744521,7.412590212419223,13925.916919563075,0.0
1980.0,-1.163922196067558,7.383008412549464,15254.858433821979,0.0
2160.0,-1.1914854546864144,7.353258907114218,16578.445037102538,0.0
2340.0,-1.2182658415307241,7.322704915682713,17896.531921925427,0.0
2520.0,-1.2444073268925686,7.290962928793902,19208.905249108328,0.0
2700.0,-1.2699939000922436,7.257802496255804,20515.309698434372,0.0
2880.0,-1.2950739185989861,7.223085900017674,21815.465160437554,0.0
3060.0,-1.319674628464897,7.186731857852207,23109.07689485095,0.0
3240.0,-1.3438108179523962,7.1486936953357505,24395.841760011386,0.0
3420.0,-1.3674899713760007,7.108946222284221,25675.452080022547,0.0
3600.0,-1.3907153364476468,7.06747784197006,26947.598091577158,0.0
3780.0,-1.4134877484342248,7.024285803599277,28211.969536225028,0.0
3960.0,-1.4358067140133741,6.979373341348364,29468.256737667733,0.0
4140.0,-1.4576710545246405,6.932747944716052,30716.151367716622,0.0
4320.0,-1.4790792871121485,6.884420306653992,31955.347022914342,0.0
4500.0,-1.5000298500050286,6.8344036773388925,33185.53968483534,0.0
4680.0,-1.5205212351395474,6.7827134604277495,34406.42810771234,0.0
4860.0,-1.5405520657007172,6.729366954063411,35617.71415944375,0.0
5040.0,-1.56012114091352,6.674383178144864,36819.10313150982,0.0
5220.0,-1.579227461346993,6.617782752902644,38010.304027032296,0.0
5400.0,-1.597870242606106,6.559587807910932,39191.02983245626,0.0
5580.0,-1.6160489220860619,6.499821909101722,40360.99777609457,0.0
5760.0,-1.6337631615639168,6.438509996388573,41519.92957544451,0.0
5940.0,-1.6510128472753791,6.375678327520306,42667.551674398164,0.0
6120.0,-1.6677980884562562,6.311354425582939,43803.59547100309,0.0
6300.0,-1.6841192149319155,6.245567028639337,44927.79753615817,0.0
6480.0,-1.699976774103309,6.178346040633058,46039.89982347212,0.0
6660.0,-1.7153715275390462,6.109722483061819,47139.64987042325,0.0
6840.0,-1.730304447300547,6.039728447148885,48226.80099091005,0.0
7020.0,-1.7447767120783964,5.968397046373039,49301.1124592572,0.0
7200.0,-1.758789703188978,5.895762369293505,50362.349685730034,0.0
7380.0,-1.7723450004631303,5.821859432651026,51410.28438360722,0.0
7560.0,-1.785444378048191,5.746724134750913,52444.694727862385,0.0
7740.0,-1.7980898001385122,5.670393209146096,53465.365505508686,0.0
7920.0,-1.8102834166456705,5.592904178646308,54472.08825766502,0.0
8100.0,-1.8220275588171637,5.514295309680304,55464.66141340747,0.0
8280.0,-1.8333247348108037,5.434605567039278,56442.89041547454,0.0
8460.0,-1.8441776252309507,5.353874569028055,57406.58783789959,0.0
8640.0,-1.8545890786319617,5.2721425430485835,58355.573495648336,0.0
8820.0,-1.8645621069936036,5.1894502816383845,59289.674546343245,0.0
9000.0,-1.8740998811727423,5.105839098983698,60208.72558416031,0.0
9180.0,-1.8832057263351791,5.021350787924979,61112.56872598681,0.0
9360.0,-1.8918831173711432,4.936027577469552,62001.05368993132,0.0
9540.0,-1.9001356742976199,4.8499120908242155,62874.03786627968,0.0
9720.0,-1.9079671576503991,4.763047303957877,63731.386380992095,0.0
9900.0,-1.9153814638683981,4.675476504702518,64572.97215183855,0.0
10080.0,-1.9223826206725902,4.587243252398416,65398.675937270265,0.0
10260.0,-1.9289747824415664,4.498391338087722,66208.38637812606,0.0
10440.0,-1.9351622255855554,4.408964745258765,67002.00003227264,0.0
10620.0,-1.9409493439204548,4.319007611141602,67779.42140227812,0.0
10800.0,-1.9463406440432487,4.2285641885539835,68540.56295621784,0.0
10980.0,-1.9513407407099679,4.137678808295268,69285.34514171099,0.0
11160.0,-1.9559543522171394,4.046395842084716,70013.69639328624,0.0
11340.0,-1.9601862957875549,3.954759666039392,70725.55313317334,0.0
11520.0,-1.9640414829609598,3.8628146246856403,71420.85976561675,0.0
11700.0,-1.9675249149901546,3.7706049954976466,72099.56866480633,0.0
11880.0,-1.970641678242872,3.678174953955304,72761.64015651828,0.0
12060.0,-1.9733969396096465,3.585568539113212,73407.04249355865,0.0
12240.0,-1.9757959419178048,3.4928296196721855,74035.75182509964,0.0
12420.0,-1.9778439993516037,3.4000018605437066,74647.7521599975,0.0
12600.0,-1.9795464928784783,3.307128689898163,75243.03532417917,0.0
12780.0,-1.9809088656812646,3.2142532666868573,75821.60091218281,0.0
12960.0,-1.981936618596248,3.121418448627963,76383.45623293585,0.0
13140.0,-1.9826353055568198,3.028666760646736,76928.61624985226,0.0
13320.0,-1.983010529042509,2.9360403637599792,77457.10351532906,0.0
13500.0,-1.9830679355331398,2.8435810243955117,77968.94809972025,0.0
13680.0,-1.9828132109678802,2.7513300841372663,78464.18751486496,0.0
13860.0,-1.9822520762089355,2.6593284298873496,78942.86663224468,0.0
14040.0,-1.9813902825096794,2.5676164644367945,79405.0375958433,0.0
14220.0,-1.9802336069870803,2.476234077437337,79850.75972978202,0.0
14400.0,-1.9787878480982748,2.3852206167674646,80280.09944080016,0.0
14580.0,-1.9770588211212665,2.2946148602864946,80693.13011565173,0.0
14760.0,-1.975052353639775,2.204454987971608,81089.93201348661,0.0
14940.0,-1.9727742810323434,2.1147785544336895,81470.59215328468,0.0
15120.0,-1.9702304419659564,2.0256224618088003,81835.20419641027,0.0
15300.0,-1.9674266738944832,1.9370229330234796,82183.8683243545,0.0
15480.0,-1.9643688085624382,1.8490154854331662,82516.69111173246,0.0
15660.0,-1.9610626675146705,1.7616349048344717,82833.78539460267,0.0
15840.0,-1.9575140576127295,1.6749152198534516,83135.27013417629,0.0
16020.0,-1.953728766558874,1.5888896767134486,83421.2702759847,0.0
16200.0,-1.9497125584288022,1.5035907143878036,83691.91660457451,0.0
16380.0,-1.9454711692144215,1.4190499401441878,83947.34559380046,0.0
16560.0,-1.941010302378155,1.3352981054892457,84187.69925278853,0.0
16740.0,-1.9363356244204932,1.2523650825238453,84413.12496764283,0.0
16920.0,-1.9314527604627278,1.1702798407211605,84623.77533897264,0.0
17100.0,-1.9263672898470372,1.0890704241416982,84819.80801531815,0.0
17280.0,-1.9210847417563337,1.0087639291013581,85001.38552255639,0.0
17460.0,-1.9156105908565306,0.9293864823105819,85168.6750893723,0.0
17640.0,-1.909950252964157,0.8509632195047159,85321.84846888314,0.0
17820.0,-1.9041090807425183,0.7735182645877894,85461.08175650894,0.0
18000.0,-1.8980923594298682,0.6970747093140136,85586.55520418545,0.0
18180.0,-1.8919053026033525,0.6216545935334755,85698.45303102148,0.0
18360.0,-1.8855530479827587,0.5472788860306198,85796.96323050698,0.0
18540.0,-1.879040653278446,0.4739674659862347,85882.2773743845,0.0
18720.0,-1.872373092088064,0.4017391050959356,85954.59041330178,0.0
18900.0,-1.8655552498470342,0.33061145038013984,86014.1004743702,0.0
19080.0,-1.8585919198380334,0.260601007722772,86061.0086557603,0.0
19260.0,-1.8514877992650598,0.19172312617795728,86095.51881847234,0.0
19440.0,-1.8442474853979314,0.12399198308607778,86117.83737542783,0.0
19620.0,-1.8368754717934095,0.05742057004251996,86128.17307803548,0.0
19800.0,-1.8293761445994312,-0.00797932023562082,86126.73680039308,0.0
19980.0,-1.8217537789492084,-0.07219710609767918,86113.7413212955,0.0
20160.0,-1.8140125354522927,-0.13522342815354696,86089.40110422786,0.0
20340.0,-1.8061564567899466,-0.19705015942318832,86053.93207553169,0.0
20520.0,-1.7981894644224568,-0.2576704143894234,86007.5514009416,0.0
20700.0,-1.7901153554162823,-0.3170785569004898,85950.47726069951,0.0
20880.0,-1.7819377993991958,-0.3752702068675796,85882.92862346335,0.0
21060.0,-1.7736603356517853,-0.4322422457015307,85805.12501923708,0.0
21240.0,-1.76528637034392,-0.4879928204318752,85717.28631155934,0.0
21420.0,-1.7568191739249648,-0.542521346450809,85619.63246919819,0.0
21600.0,-1.748261878676721,-0.5958285088241304,85512.38333760985,0.0
21780.0,-1.7396174764382009,-0.647916262110956,85395.75841042987,0.0
21960.0,-1.7308888165114784,-0.6987878286340129,85269.97660127575,0.0
22140.0,-1.722078603757943,-0.7484476951425997,85135.25601615007,0.0
22320.0,-1.7131893968943552,-0.7969016078108206,84991.81372674412,0.0
22500.0,-1.7042236069981027,-0.8441565655146076,84839.86554495149,0.0
22680.0,-1.6951834962310925,-0.8902208113321677,84679.6257989117,0.0
22860.0,-1.6860711767916077,-0.9351038222140097,84511.30711091319,0.0
23040.0,-1.6768886101034164,-0.9788162967705952,84335.12017749448,0.0
23220.0,-1.6676376062512503,-1.0213701411277791,84151.27355209147,0.0
23400.0,-1.6583198236716146,-1.0627784528028712,83959.97343058695,0.0
23580.0,-1.6489367691076433,-1.1030555025570725,83761.42344012667,0.0
23760.0,-1.6394897978364442,-1.1422167141833715,83555.82443157367,0.0
23940.0,-1.629980114177062,-1.1802786421927831,83343.37427597896,0.0
24120.0,-1.6204087722867675,-1.2172589473659248,83124.2676654531,0.0
24300.0,-1.6107766772529895,-1.2531763701415202,82898.69591882762,0.0
24480.0,-1.6010845864876708,-1.2880507018183474,82666.84679250032,0.0
24660.0,-1.591333111430319,-1.3219027535525798,82428.90429686086,0.0
24840.0,-1.581522719565383,-1.3547543231382144,82185.04851869597,0.0
25020.0,-1.5716537367589396,-1.386628159564454,81935.45544997437,0.0
25200.0,-1.561726349918954,-1.4175479253505125,81680.29682341128,0.0
