t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,-2.0,4.800000000000004,0.0,0.0
180.0,-2.1352064053762647,4.514037791680737,812.5268025025326,0.0
360.0,-2.1918523408110415,4.413167372874357,1606.8969296199168,0.0
540.0,-2.2252233240383603,4.366115160005346,2392.797658420879,0.0
720.0,-2.2488982581845147,4.340566862910302,3174.0996937447335,0.0
900.0,-2.268145771673833,4.32388662454348,3952.3992861625597,0.0
1080.0,-2.285284473118695,4.310449281332271,4728.280156802369,0.0
1260.0,-2.30136242501689,4.297672451829818,5501.861198131736,0.0
1440.0,-2.3168552859249862,4.284357132712201,6273.045482019932,0.0
1620.0,-2.331977951115484,4.269940997173129,7041.634861511096,0.0
1800.0,-2.346826161497257,4.254156214445349,7807.382980111259,0.0
1980.0,-2.36144118618577,4.236871821251416,8570.019907936514,0.0
2160.0,-2.375839416511431,4.218020997486797,9329.263687484137,0.0
2340.0,-2.390025912564628,4.197567505931442,10084.825838551797,0.0
2520.0,-2.404000604711855,4.175490209804729,10836.414076316647,0.0
2700.0,-2.417761132903674,4.151775934141619,11583.733744462139,0.0
2880.0,-2.431304147174427,4.126416176291006,12326.48865619452,0.0
3060.0,-2.4446259040336824,4.099405590486318,13064.381662482057,0.0
3240.0,-2.457722540747311,4.0707412888700425,13797.115094478666,0.0
3420.0,-2.4705902022684096,4.040422517250666,14524.391147583785,0.0
3600.0,-2.483225100739282,4.008450501953488,15245.912237935412,0.0
3780.0,-2.4956235440998475,3.97482837395135,15961.381345246655,0.0
3960.0,-2.5077819504978627,3.939561127098464,16670.502348124377,0.0
4140.0,-2.519696856127041,3.9026555906281355,17372.98035443744,0.0
4320.0,-2.531364919975287,3.8641204068255073,18068.522027666033,0.0
4500.0,-2.5427829270724644,3.823966009737998,18756.83590941887,0.0
4680.0,-2.55394779096311,3.7822046030654533,19437.632737970653,0.0
4860.0,-2.564856555735229,3.738850136421567,20110.625762526535,0.0
5040.0,-2.575506397756619,3.6939182796420185,20775.531052862098,0.0
5220.0,-2.5858946271882357,3.64742639503767,21432.06780396888,0.0
