x_m,uy_microm
0.000000000000000000e+00,-1.750187589742828607e+02
2.500000000000000139e-02,-1.750199034321225042e+02
5.000000000000000278e-02,-1.750233896787083552e+02
7.500000000000001110e-02,-1.750293808327948568e+02
1.000000000000000056e-01,-1.750381651428016028e+02
1.250000000000000000e-01,-1.750501872677155006e+02
1.500000000000000222e-01,-1.750661058122243787e+02
1.750000000000000167e-01,-1.750869284321909731e+02
2.000000000000000111e-01,-1.751142052478470248e+02
2.250000000000000056e-01,-1.751512598399501144e+02
2.500000000000000000e-01,-1.752025689802044326e+02
2.750000000000000222e-01,-1.753067771237040233e+02
3.000000000000000444e-01,-1.753560684858478851e+02
3.250000000000000111e-01,-1.753889951435943146e+02
3.500000000000000333e-01,-1.754098419605181221e+02
3.750000000000000000e-01,-1.754216246033471407e+02
4.000000000000000222e-01,-1.754254370585646541e+02
4.250000000000000444e-01,-1.754216246033470554e+02
4.500000000000000111e-01,-1.754098419605184915e+02
4.750000000000000333e-01,-1.753889951435944567e+02
5.000000000000000000e-01,-1.753560684858481125e+02
5.250000000000000222e-01,-1.753067771237043360e+02
5.500000000000000444e-01,-1.752025689802048589e+02
5.750000000000000666e-01,-1.751512598399505123e+02
6.000000000000000888e-01,-1.751142052478475364e+02
6.250000000000000000e-01,-1.750869284321913710e+02
6.500000000000000222e-01,-1.750661058122248619e+02
6.750000000000000444e-01,-1.750501872677160975e+02
7.000000000000000666e-01,-1.750381651428025123e+02
7.250000000000000888e-01,-1.750293808327958516e+02
7.500000000000000000e-01,-1.750233896787093499e+02
7.750000000000000222e-01,-1.750199034321235843e+02
8.000000000000000444e-01,-1.750187589742839691e+02
