t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,0.0,19.200000000000017,0.0,0.5
180.0,-0.023727175663879413,19.25161121821984,3465.290019279571,0.4762728243361206
360.0,-0.04580867505889637,19.307048737177,6940.558791971431,0.45419132494110365
540.0,-0.06648571710192215,19.36516699419188,10426.288850925968,0.43351428289807786
720.0,-0.08592696925015958,19.425143216584488,13922.814629911176,0.4140730307498404
900.0,-0.1042633264808861,19.48631832358566,17430.351928156593,0.3957366735191139
1080.0,-0.12160414990014815,19.548122792322797,20949.014030774695,0.3783958500998519
1260.0,-0.1380441494401378,19.610046134838466,24478.822335045617,0.36195585055986224
1440.0,-0.1536666382723643,19.671623309022987,28019.714530669757,0.34633336172763574
1620.0,-0.16854540206678753,19.732427507524605,31571.551482024184,0.33145459793321247
1800.0,-0.18274599506858116,19.79206548726892,35134.12326973259,0.31725400493141886
1980.0,-0.19632675789727896,19.850174051365684,38707.15459897841,0.30367324210272106
2160.0,-0.209339669566821,19.906417164491565,42290.309688586894,0.29066033043317896
2340.0,-0.22183108152516187,19.960483491662178,45883.19671708609,0.27816891847483816
2520.0,-0.233842357928009,20.01208426191394,49485.3718842306,0.266157642071991
2700.0,-0.24541043719653075,20.060951400531778,53096.343136326315,0.2545895628034692
2880.0,-0.25656832587471934,20.10683589087202,56715.57359668328,0.24343167412528066
3060.0,-0.26734553365881586,20.14950633526682,60342.48473703131,0.23265446634118414
3240.0,-0.2777684570803594,20.18874768950663,63976.4593211425,0.2222315429196406
3420.0,-0.2878607182784989,20.224360148953284,67616.84414795409,0.2121392817215011
3600.0,-0.2976434644439002,20.256158167161104,71262.95261804308,0.20235653555609978
3780.0,-0.3071356327935463,20.283969590262146,74914.06714429027,0.19286436720645372
3960.0,-0.3163541853130807,20.307634892420474,78569.44142492596,0.18364581468691932
4140.0,-0.3253143169635329,20.32700649945097,82228.30259482714,0.1746856830364671
4320.0,-0.33402964057995205,20.3419481892615,85889.8532688942,0.16597035942004795
4500.0,-0.3425123512809614,20.352334559154688,89553.27348954204,0.1574876487190386
4680.0,-0.35077337285243787,20.358050551232356,93217.72258876386,0.14922662714756213
4860.0,-0.35882248825850266,20.358991028207654,96882.34097384124,0.14117751174149734
5040.0,-0.36666845616283333,20.355060392865575,100546.25184455705,0.13333154383716667
5220.0,-0.37431911510777116,20.346172245234104,104208.56284869919,0.12568088489222884
5400.0,-0.38178147679333607,20.332249072252726,107868.36768170468,0.11821852320666393
5580.0,-0.389061809719146,20.31322196536196,111524.74763546983,0.110938190280854
5760.0,-0.39616571429598235,20.289030362001174,115176.77310063005,0.10383428570401765
5940.0,-0.40309819039739037,20.259621807494526,118823.50502597906,0.09690180960260963
6120.0,-0.4098636982026793,20.224951734244495,122463.99633814307,0.09013630179732068
6300.0,-0.4164662130787647,20.184983255534476,126097.29332413927,0.08353378692123531
6480.0,-0.4229092751575164,20.139686971583608,129722.43697902432,0.07709072484248358
6660.0,-0.4291960341859646,20.089040785796207,133338.46432046764,0.07080396581403542
6840.0,-0.435329290157378,20.033029729411354,136944.40967176168,0.06467070984262202
7020.0,-0.4413115301706061,19.971645792994178,140539.30591450064,0.05868846982939391
7200.0,-0.4471449619120379,19.904887763414056,144122.18571191517,0.0528550380879621
7380.0,-0.45283154410810444,19.83276106513823,147692.08270364004,0.047168455891895555
7560.0,-0.45837301425560667,19.7552776048306,151248.03267250955,0.04162698574439333
7740.0,-0.4637709139015314,19.672455618385825,154789.074683819,0.03622908609846859
7920.0,-0.46902661171280663,19.584319519656205,158314.2521973571,0.03097338828719337
8100.0,-0.4741413245490579,19.49089975023797,161822.61415239994,0.025858675450942115
8280.0,-0.47911613672740044,19.392232629782697,165313.21602576083,0.020883863272599557
8460.0,-0.4839520176472007,19.288360206385338,168785.1208629102,0.016047982352799306
8640.0,-0.4886498379241862,19.179330106675906,172237.40028211186,0.011350162075813797
