t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,-2.0,4.800000000000004,0.0,0.0
180.0,-2.15439998326062,4.467571261321377,804.1628270378479,0.0
360.0,-2.2306888274647356,4.318333769172574,1581.462905488911,0.0
540.0,-2.285479544408604,4.217718112266978,2340.652165696967,0.0
720.0,-2.3302657536827573,4.1384806983030265,3085.5786913915117,0.0
900.0,-2.369011011869185,4.071277603490587,3818.408660019817,0.0
1080.0,-2.4035445975444185,4.011825015270428,4540.537162768494,0.0
1260.0,-2.434864228336228,3.957805106837772,5252.942081999294,0.0
1440.0,-2.4635853532746177,3.90779945395592,5956.34598371136,0.0
1620.0,-2.490127797363726,3.86084588745641,6651.298243453513,0.0
1800.0,-2.5148013600226404,3.8162355935978303,7338.220650301123,0.0
1980.0,-2.537847793991369,3.773414215698814,8017.435209126909,0.0
2160.0,-2.559462739774112,3.731930839694942,8689.182760271999,0.0
2340.0,-2.5798080578852436,3.6914098916674707,9353.636540772144,0.0
2520.0,-2.599019379300565,3.651534368094069,10010.912727029077,0.0
2700.0,-2.6172111583787303,3.6120348967342024,10661.079008441233,0.0
2880.0,-2.6344803356710407,3.572681963209495,11304.161761818941,0.0
3060.0,-2.65090916262747,3.5332799843329115,11940.152158998866,0.0
3240.0,-2.6665674745537076,3.4936625550412157,12569.011418906284,0.0
3420.0,-2.6815145691503584,3.4536885092060405,13190.675350563371,0.0
3600.0,-2.695800783883779,3.4132385891488934,13805.058296610172,0.0
3780.0,-2.70946883248131,3.3722125968353702,14412.056564040538,0.0
3960.0,-2.7225549429809432,3.3305269408404543,15011.55141339182,0.0
4140.0,-2.7350898293622956,3.2881125161193405,15603.411666293301,0.0
4320.0,-2.7470995221855756,3.244912867450098,16187.495982434319,0.0
4500.0,-2.7586060790983864,3.200882596523418,16763.654849808532,0.0
4680.0,-2.769628192667265,3.155985979181692,17331.732326061236,0.0
4860.0,-2.7801817103118327,3.110195764320785,17891.56756363898,0.0
5040.0,-2.79028007893248,3.06349213000785,18442.99614704039,0.0
5220.0,-2.799934724996735,3.0158617757305355,18985.851266671885,0.0
5400.0,-2.8091553793056767,2.96729713254336,19519.96475052969,0.0
5580.0,-2.8179503543464905,2.9177956753209586,20045.16797208746,0.0
5760.0,-2.8263267810124404,2.867359323435514,20561.29265030585,0.0
5940.0,-2.8342908105074183,2.8159939179996476,21068.17155554579,0.0
6120.0,-2.8418477864250375,2.763708765396889,21565.63913331723,0.0
6300.0,-2.8490023912821254,2.7105162381936285,22053.53205619208,0.0
6480.0,-2.8557587711768333,2.6564314257165274,22531.689712821055,0.0
