t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,-2.0,19.200000000000017,0.0,0.0
180.0,-2.444921688682347,15.056940763908498,2710.2493375035297,0.0
360.0,-2.5922729716144763,13.74157096662442,5183.732111495925,0.0
540.0,-2.6620631026421355,13.161121792602106,7552.734034164304,0.0
720.0,-2.703296163229792,12.848055516082,9865.384027059064,0.0
900.0,-2.732923517297608,12.639549998218037,12140.503026738312,0.0
1080.0,-2.757570883322854,12.471425597205782,14385.359634235352,0.0
1260.0,-2.7798941898078717,12.317727304937462,16602.550549124095,0.0
1440.0,-2.800962467120161,12.167914655121356,18792.77518704594,0.0
1620.0,-2.821205121015034,12.01771815066359,20955.964454165387,0.0
1800.0,-2.840793414629055,11.865425202860155,23091.740990680213,0.0
1980.0,-2.8597945487373666,11.710366997952082,25199.607050311588,0.0
2160.0,-2.878233913022726,11.552301824070945,27279.021378644356,0.0
2340.0,-2.8961202214282293,11.391163853138107,29329.430872209217,0.0
2520.0,-2.9134556507404397,11.226960844606044,31350.283824238304,0.0
2700.0,-2.9302399245731503,11.059732478906243,33341.03567044143,0.0
2880.0,-2.946471955362367,10.889533346805937,35301.1516728665,0.0
3060.0,-2.9621505024434907,10.716425953253761,37230.10834445218,0.0
3240.0,-2.977274434057067,10.540477783916678,39127.39434555718,0.0
3420.0,-2.9918428300179127,10.361760018162565,40992.51114882644,0.0
3600.0,-3.0058550202802614,10.180346908954988,42824.973592438335,0.0
3780.0,-3.0193105976712866,9.996315433195091,44624.31037041345,0.0
3960.0,-3.0322094201633054,9.809745052360958,46390.064479838424,0.0
4140.0,-3.044551608857326,9.620717518938372,48121.79363324733,0.0
4320.0,-3.0563375441608325,9.42931670278944,49819.07063974943,0.0
4500.0,-3.0675678611638495,9.23562842719561,51481.48375664464,0.0
4680.0,-3.07824344462506,9.039740310584639,53108.63701254987,0.0
4860.0,-3.088365423742404,8.841741612462823,54700.15050279318,0.0
5040.0,-3.09793516678738,8.641723083070001,56255.66065774578,0.0
5220.0,-3.1069542756436968,8.439776816662414,57774.82048474501,0.0
5400.0,-3.115424580275122,8.235996108469713,59257.29978426956,0.0
5580.0,-3.1233481331404414,8.030475315418032,60702.78534104481,0.0
5760.0,-3.1307272035703115,7.82330972071605,62110.9810907737,0.0
5940.0,-3.1375642721189063,7.614595402392155,63481.60826320428,0.0
6120.0,-3.143862024902082,7.404429105856124,64814.405502258385,0.0
6300.0,-3.149623347932814,7.192908120542722,66109.12896395607,0.0
6480.0,-3.154851321463756,6.98013016067786,67365.55239287809,0.0
6660.0,-3.1595492143460144,6.766193250192567,68583.46717791275,0.0
6840.0,-3.163720478412375,6.551195611795191,69762.68238803589,0.0
7020.0,-3.1673687428925272,6.33523556019754,70903.02478887144,0.0
7200.0,-3.170497808867092,6.118411399477988,72004.33884077748,0.0
7380.0,-3.1731116437665428,5.900821324551864,73066.48667919681,0.0
7560.0,-3.175214375920453,5.682563326708502,74089.34807800435,0.0
7740.0,-3.1768102891618595,5.463735103163088,75072.8203965737,0.0
7920.0,-3.177903817490871,5.244433970562583,76016.81851127496,0.0
8100.0,-3.178499539801145,5.024756782375366,76921.27473210252,0.0
8280.0,-3.1786021746721875,4.804799850086717,77786.13870511814,0.0
8460.0,-3.1782165752299827,4.584658868114701,78611.37730137879,0.0
8640.0,-3.177347724077882,4.364428842354806,79396.97449300265,0.0
8820.0,-3.176000728299264,4.144204022255324,80142.9312170086,0.0
9000.0,-3.1741808145329573,3.924077836321113,80849.2652275464,0.0
9180.0,-3.1718933241220397,3.704142830938097,81516.01093711526,0.0
9360.0,-3.1691437083361964,3.484490612407906,82143.2192473487,0.0
9540.0,-3.165937523667449,3.265211792077969,82730.95736992273,0.0
9720.0,-3.162280427198729,3.046395934450242,83279.30863812378,0.0
9900.0,-3.158178172044407,2.828131508149545,83788.3723095907,0.0
10080.0,-3.1536366028616314,2.610505839630461,84258.26336072419,0.0
10260.0,-3.1486616514309884,2.3936050695012683,84689.11227323442,0.0
10440.0,-3.1432593323048006,2.177514111341868,85081.06481327595,0.0
10620.0,-3.1374357385210794,1.962316612892857,85434.28180359666,0.0
10800.0,-3.131197037380968,1.7480949194931346,85748.93888910543,0.0
10980.0,-3.12454946628732,1.534930039642826,86025.22629624113,0.0
11160.0,-3.1174993286418244,1.3229016125707218,86263.34858650387,0.0
11340.0,-3.110052989797994,1.1120878776848417,86463.52440448714,0.0
11520.0,-3.1022168730671456,0.9025656457874159,86625.98622072887,0.0
11700.0,-3.0939974557743883,0.6944102719364216,86750.98006967742,0.0
11880.0,-3.085401265361533,0.4876956298380589,86838.76528304827,0.0
12060.0,-3.0764348755337303,0.2824940876566425,86889.61421882646,0.0
12240.0,-3.067104902446584,0.07887648513076909,86903.81198615,0.0
12420.0,-3.0574180009303964,-0.12308788811301671,86881.65616628966,0.0
12600.0,-3.047380860748189,-0.32333131315468927,86823.45652992181,0.0
12780.0,-3.037000202884084,-0.5217876613865433,86729.53475087223,0.0
12960.0,-3.0262827758586113,-0.718392413229774,86600.22411649088,0.0
13140.0,-3.015235352067522,-0.9130826760588202,86435.8692348003,0.0
13320.0,-3.003864724140671,-1.1057972014262725,86236.82573854357,0.0
13500.0,-2.9921777013175817,-1.2964764016782118,86003.45998624149,0.0
13680.0,-2.9801811058362913,-1.485062366045589,85736.14876035329,0.0
13860.0,-2.9678817693321973,-1.671498876294143,85435.27896262034,0.0
14040.0,-2.9552865292435953,-1.8557314220103602,85101.24730665848,0.0
14220.0,-2.942402225220764,-2.037707215598258,84734.4600078508,0.0
14400.0,-2.929235695535451,-2.2173752070560795,84335.3324705807,0.0
14580.0,-2.9157937734877932,-2.3946860985990046,83904.28897283289,0.0
14760.0,-2.9020832838077566,-2.5695923591884537,83441.76234817896,0.0
14940.0,-2.8881110390483506,-2.7420482390248773,82948.19366515448,0.0
15120.0,-2.8738838359679675,-2.9120097840552304,82424.03190402454,0.0
15300.0,-2.8594084518994047,-3.0794348505425138,81869.73363092689,0.0
15480.0,-2.8446916411032417,-3.2442831197388804,81285.76266937389,0.0
15660.0,-2.8297401311034838,-3.406516112699479,80672.58976908798,0.0
15840.0,-2.814560619003523,-3.566097205268248,80030.6922721397,0.0
16020.0,-2.799159767780722,-3.7229916432618095,79360.55377635258,0.0
16200.0,-2.7835442025581547,-3.8771665578723034,78662.66379593556,0.0
16380.0,-2.7677205068522377,-4.0285909813035685,77937.51741930092,0.0
16560.0,-2.75169521879532,-4.177235862650033,77185.61496402392,0.0
16740.0,-2.7354748273324994,-4.323074084020966,76407.46162890014,0.0
16920.0,-2.719065768392309,-4.46608047690712,75603.56714305686,0.0
17100.0,-2.7024744210311518,-4.606231838779907,74774.44541207649,0.0
17280.0,-2.6857071035517595,-4.743506949907105,73920.61416109321,0.0
17460.0,-2.6687700695962415,-4.877886590362024,73042.59457482805,0.0
17640.0,-2.651669504214726,-5.009353557196779,72140.91093453263,0.0
17820.0,-2.634411519910917,-5.137892681742415,71216.090251819,0.0
18000.0,-2.6170021526663305,-5.263490846992313,70268.66189936038,0.0
18180.0,-2.599447357945386,-5.386137005016943,69299.15723845732,0.0
18360.0,-2.5817530066840115,-5.505822194351728,68308.10924347401,0.0
18540.0,-2.563924881264793,-5.622539557290721,67296.05212316169,0.0
18720.0,-2.5459686714822825,-5.736284357011964,66263.52093889953,0.0
18900.0,-2.527889970502514,-5.847053994452084,65211.05121989815,0.0
19080.0,-2.509694270821306,-5.954848024839536,64139.17857542704,0.0
19260.0,-2.4913869602264858,-6.05966817378781,63048.43830414523,0.0
19440.0,-2.4729733177696764,-6.161518352841741,61939.36500063372,0.0
19620.0,-2.4544585097539033,-6.2604046743615305,60812.49215924864,0.0
19800.0,-2.435847585743814,-6.356335465621166,59668.35177543683,0.0
19980.0,-2.4171454746059293,-6.449321281989217,58507.47394467877,0.0
20160.0,-2.3983569805869074,-6.539374919051778,57330.38645924945,0.0
20340.0,-2.3794867794384564,-6.626511423529436,56137.61440301415,0.0
20520.0,-2.3605394145981364,-6.710748102831847,54929.67974450442,0.0
20700.0,-2.3415192934358613,-6.792104533085398,53707.10092854905,0.0
20880.0,-2.322430683576655,-6.870602565462483,52470.39246676581,0.0
21060.0,-2.3032777093106924,-6.94626633063254,51220.06452725195,0.0
21240.0,-2.2840643481023943,-7.019122241148918,49956.622523845144,0.0
21420.0,-2.2647944272108864,-7.089198991578304,48680.56670536105,0.0
21600.0,-2.2454716204347647,-7.156527556173738,47392.39174524978,0.0
21780.0,-2.226099444994671,-7.221141183886369,46092.58633215023,0.0
21960.0,-2.20668125856775,-7.283075390506088,44781.63276185914,0.0
22140.0,-2.1872202564886094,-7.342367947717259,43460.00653127003,0.0
22320.0,-2.1677194691318817,-7.39905886885179,42128.17593487671,0.0
22500.0,-2.1481817594919876,-7.453190391119476,40786.6016644752,0.0
22680.0,-2.1286098209760826,-7.504806954093903,39435.7364127383,0.0
22860.0,-2.1090061754266247,-7.553955174231324,38076.02448137666,0.0
23040.0,-2.089373171390218,-7.600683815200926,36707.901394640496,0.0
23220.0,-2.0697129826497798,-7.645043753806273,35331.79351895537,0.0
23400.0,-2.0500276070371637,-7.687087941281088,33948.11768952477,0.0
23580.0,-2.0303188655435753,-7.726871359747144,32557.280844770285,0.0
23760.0,-2.010588401745128,-7.764450973627719,31159.679669517296,0.0
23940.0,-1.9908376815608746,-7.799885675818512,29755.700247869965,0.0
24120.0,-1.9710679933604818,-7.83323622842627,28345.717726753235,0.0
24300.0,-1.951280448438527,-7.86456519789751,26930.095991131682,0.0
24480.0,-1.931475981872032,-7.893936884372005,25509.18735194472,0.0
24660.0,-1.9116553537774241,-7.921417245110712,24083.332247824794,0.0
24840.0,-1.8918191509825244,-7.947073811864722,22652.858961689144,0.0
25020.0,-1.8719677891285145,-7.970975602070672,21218.083353316422,0.0
25200.0,-1.8521015152159925,-7.993193023778359,19779.308609036318,0.0
25380.0,-1.8322204106083069,-8.013797774239714,18336.825009673168,0.0
25560.0,-1.8123243945042518,-8.032862732112683,16890.909717892886,0.0
25740.0,-1.79241322789105,-8.050461843260567,15441.826586105984,0.0
25920.0,-1.7724865179871279,-8.066670000156089,13989.825986077889,0.0
26100.0,-1.752543723182761,-8.081562914930224,12535.144661390448,0.0
26280.0,-1.7325841584850057,-8.095216986138336,11078.005603885547,0.0
26460.0,-1.7126070014715702,-8.107709159350243,9618.617955202504,0.0
26640.0,-1.6926112987563986,-8.11911678170702,8157.176934495241,0.0
26820.0,-1.672595972967684,-8.129517450624263,6693.863793382874,0.0
27000.0,-1.6525598302369018,-8.13898885686064,5228.845799147959,0.0
27180.0,-1.6325015681951522,-8.147608622209615,3762.2762471502283,0.0
27360.0,-1.6124197844707648,-8.155454132113588,2294.2945033697824,0.0
27540.0,-1.5923129856795744,-8.162602363540245,825.0260779325383,0.0
27720.0,-1.5721795968967678,-8.169129708502904,-645.4172695979844,0.0
27900.0,-1.5520179715965212,-8.17511179364832,-2116.9373924546817,0.0
28080.0,-1.5318264020429595,-8.180623296376792,-3589.4495858025043,0.0
28260.0,-1.511603130113203,-8.18573775800051,-5062.882382242597,0.0
28440.0,-1.4913463585305005,-8.190527394486189,-6537.17731325011,0.0
28620.0,-1.4710542624826528,-8.195062905366722,-8012.288636216121,0.0
28800.0,-1.4507250015981403,-8.19941328144422,-9488.18302687608,0.0
28980.0,-1.4303567322496353,-8.203645611941974,-10964.839237025635,0.0
29160.0,-1.4099476201518728,-8.207824891795791,-12442.247717548878,0.0
29340.0,-1.3894958532182007,-8.212013829805805,-13920.410206913923,0.0
29520.0,-1.3689996546376435,-8.21627265839667,-15399.339285425323,0.0
29700.0,-1.3484572961318768,-8.220658945758341,-16879.057895661826,0.0
29880.0,-1.327867111349225,-8.225227411159377,-18359.598829670515,0.0
30060.0,-1.307227509350715,-8.230029744240477,-19841.0041836338,0.0
30240.0,-1.2865369881412725,-8.235114429107938,-21323.324780873227,0.0
30420.0,-1.2657941481974566,-8.240526574052849,-22806.619564202738,0.0
30600.0,-1.2449977059416302,-8.246307747724256,-24290.954958793103,0.0
