t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,4.0,76.80000000000007,0.0,1.0
180.0,3.7600400784392027,75.14434001125215,13525.981202025388,1.0
360.0,3.566520570125435,73.89743328511898,26827.519193346805,1.0
540.0,3.405851590271253,72.93656876380162,39956.101570831095,1.0
720.0,3.268522264847013,72.17503243586044,52947.60740928598,1.0
900.0,3.147913389106737,71.55191469477202,65826.95205434495,1.0
1080.0,3.039422651256475,71.02448219292286,78611.35884907107,1.0
1260.0,2.939846743030508,70.56272824282513,91312.64993277959,1.0
1440.0,1.4362963066892618,55.664720919196064,101332.29969823488,0.0
1620.0,1.4030284212377293,55.72596891239744,111362.97410246643,0.0
1800.0,1.3716389978537054,55.793601113279365,121405.82230285672,0.0
1980.0,1.3420543023038825,55.86696252737927,131461.87555778498,0.0
2160.0,1.3139024756893618,55.942223593625954,141531.47580463765,0.0
2340.0,1.2868279290654219,56.0156158081299,151614.28665010104,0.0
2520.0,1.2605400148942512,56.08396329263343,161709.40004277506,0.0
2700.0,1.2348131576876626,56.14471185901768,171815.44817739824,0.0
2880.0,1.2094768666636437,56.19584739078576,181930.70070773968,0.0
3060.0,1.1844049412958475,56.23580023574549,192053.14475017387,0.0
3240.0,1.1595060956839423,56.26335986146214,202180.54952523706,0.0
3420.0,1.1347163116567662,56.27760407961371,212310.51825956753,0.0
3600.0,1.1099927385596486,56.27784180796194,222440.5297850007,0.0
3780.0,1.085308868568773,56.26356720450948,232567.9718818124,0.0
3960.0,1.060650735179262,56.23442304111274,242690.1680292127,0.0
4140.0,1.0360139240648287,56.190171492679504,252804.39889789504,0.0
4320.0,1.0114012263460026,56.130670849998296,262907.9196508947,0.0
4500.0,0.9868207989826288,56.05585695502593,272997.97390279936,0.0
4680.0,0.9622847251364337,55.96572839738994,283071.80501432955,0.0
4860.0,0.9378078897981014,55.86033470474909,293126.6652611844,0.0
5040.0,0.9134071037783535,55.73976691511402,303159.8233059049,0.0
5220.0,0.8891004232504987,55.60415004350707,313168.5703137362,0.0
5400.0,0.8649066231673863,55.45363705455022,323150.22498355526,0.0
5580.0,0.8408447916730258,55.28840403173266,333102.13770926715,0.0
5760.0,0.8169340195771045,55.108646297234586,343021.6940427694,0.0
5940.0,0.7931931644466923,54.91457528651372,352906.3175943418,0.0
6120.0,0.7696406732002219,54.706416021978065,362753.4724782979,0.0
6300.0,0.7462944505068989,54.48440506201903,372560.6653894613,0.0
6480.0,0.7231717629917919,54.24878882714036,382325.4473783466,0.0
6660.0,0.7002891713745678,53.99982222517687,392045.4153788784,0.0
6840.0,0.6776624843479627,53.73776751373152,401718.2135313501,0.0
7020.0,0.6553067293252554,53.46289335078149,411341.5343344908,0.0
7200.0,0.6332361362290618,53.1754739946105,420913.11965352064,0.0
7380.0,0.6114641313157312,52.87578862232802,430430.7616055397,0.0
7560.0,0.5900033386771613,52.564120742673055,439892.3033392209,0.0
7740.0,0.5648166078952802,52.190192920708085,449286.53806494834,0.0
7920.0,0.5413305709378893,51.82169108014189,458614.4424593739,0.0
8100.0,0.5194759243789498,51.45806953637598,467876.8949759216,0.0
8280.0,0.49908329108389,51.09750885140311,477074.4465691742,0.0
8460.0,0.4799798209148638,50.73812092892923,486207.30833638145,0.0
8640.0,0.46201243385652313,50.37824537724018,495275.3925042847,0.0
8820.0,0.4450517866630096,50.01650532538099,504278.36346285325,0.0
9000.0,0.4289905637199759,49.651791198109514,513215.685878513,0.0
9180.0,0.41374036561405875,49.283225757889156,522086.666514933,0.0
9360.0,0.3992285620997761,48.91012768811957,530890.4894987945,0.0
9540.0,0.38539550401506106,48.53197886699095,539626.2456948529,0.0
9720.0,0.37219216539494027,48.14839640689453,548292.9570480939,0.0
9900.0,0.3595781860265052,47.75910923290851,556889.5967100174,0.0
10080.0,0.3475202591467653,47.36393862174694,565415.1056619319,0.0
10260.0,0.33599080808510523,46.962782085423285,573868.4064373081,0.0
10440.0,0.32496690193831906,46.55560004239834,582248.4144449398,0.0
10620.0,0.31442936798790416,46.14240479873667,590554.0473087124,0.0
10800.0,0.30436206568944607,45.72325143879439,598784.2325676953,0.0
10980.0,0.2947512932123213,45.29823029253001,606937.9140203507,0.0
11160.0,0.28558530266193477,44.8674607037726,615014.0569470298,0.0
11340.0,0.27685390438509405,44.43108587160679,623011.652403919,0.0
11520.0,0.26854814427590484,43.98926857672574,630929.7207477296,0.0
11700.0,0.26066004089053285,43.54218763747996,638767.314522476,0.0
11880.0,0.2531823715531893,43.09003496752305,646523.5208166302,0.0
12060.0,0.24610849858414036,42.63301312941383,654197.4631799248,0.0
12240.0,0.23943222837922246,42.17133329707291,661788.3031733979,0.0
12420.0,0.23314769738173144,41.705213555302926,669295.2416133524,0.0
12600.0,0.22724928006311387,41.2348774772074,676717.5195592497,0.0
12780.0,0.22173151491088305,40.7605529307659,684054.4190867876,0.0
12960.0,0.10110891357618954,38.822411790126026,691042.4532090103,0.0
13140.0,0.0599326472502816,37.88462915174696,697861.6864563248,0.0
13320.0,0.032608978825553414,37.11568607397023,704542.5099496394,0.0
13500.0,0.009882935429645334,36.39864131957057,711094.2653871621,0.0
13680.0,-0.009846362344365178,35.71346577178104,717522.6892260826,0.0
13860.0,-0.027090826939042714,35.05390098333109,723832.3914030823,0.0
14040.0,-0.04217103863002296,34.416112993002784,730027.2917418228,0.0
14220.0,-0.05534562188675617,33.79705937075589,736110.7624285589,0.0
14400.0,-0.06683456368614898,33.19419436590628,742085.7174144221,0.0
14580.0,-0.0768269471913933,32.60537028622778,747954.6840659431,0.0
14760.0,-0.08548578411938455,32.028775396979334,753719.8636373994,0.0
14940.0,-0.09295186496571628,31.462884237699882,759383.1828001854,0.0
15120.0,-0.09934699941613732,30.90641569416953,764946.3376251359,0.0
15300.0,-0.10477677471428344,30.358297226008577,770410.8311258175,0.0
15480.0,-0.1093329097814042,29.81763427273586,775778.0052949099,0.0
15660.0,-0.11309526566300818,29.283684074241556,781049.0684282734,0.0
15840.0,-0.11613356277591574,28.75583326656081,786225.1184162544,0.0
16020.0,-0.23624712015710797,26.829997453058986,791054.5179578051,0.0
16200.0,-0.3154931516823936,25.40068556057925,795626.6413587093,0.0
16380.0,-0.35642921907495184,24.43124023342874,800024.2646007265,0.0
16560.0,-0.3798666406753744,23.670920390202753,804285.0302709631,0.0
16740.0,-0.3956994131115718,23.00137013664945,808425.27689556,0.0
16920.0,-0.4080370538992828,22.37380316408885,812452.561465096,0.0
17100.0,-0.41855347063454806,21.768570825847974,816370.9042137486,0.0
17280.0,-0.4279341335970926,21.177787656902268,820182.905991991,0.0
17460.0,-0.43646610987776735,20.598282256524296,823890.5967981655,0.0
17640.0,-0.4442759600360972,20.028769074277566,827495.7752315354,0.0
17820.0,-0.45142545521417665,19.46871621326296,831000.1441499228,0.0
18000.0,-0.4579500896870399,18.91789225837576,834405.3647564304,0.0
18180.0,-0.4638745869102739,18.37618481570825,837713.0780232579,0.0
18360.0,-0.469219148261087,17.843527813235177,840924.9130296402,0.0
18540.0,-0.47400197376311887,17.31987236481598,844042.490055307,0.0
18720.0,-0.4782402800074885,16.805175096317214,847067.4215726441,0.0
18900.0,-0.48195071160057024,16.299393476629245,850001.3123984374,0.0
19080.0,-0.4851495075509719,15.802483960398467,852845.7595113091,0.0
19260.0,-0.48785256847825825,15.314401259559391,855602.3517380297,0.0
19440.0,-0.4900754835943462,14.835098067623692,858272.669390202,0.0
19620.0,-0.49183354130785983,14.364524964921221,860858.2838838878,0.0
19800.0,-0.4931417331134481,13.902630395447519,863360.7573550683,0.0
19980.0,-0.49401475468669376,13.449360671328309,865781.6422759074,0.0
20160.0,-0.4944670057795358,13.004659987237185,868122.4810736101,0.0
20340.0,-0.49451258956826116,12.56847043772085,870384.8057523998,0.0
20520.0,-0.4941653117237449,12.140732034676207,872570.1375186415,0.0
20700.0,-0.4934386793186931,11.721382723963941,874679.9864089551,0.0
20880.0,-0.49234589962416436,11.310358400852868,876715.8509211086,0.0
21060.0,-0.4908998788227598,10.9075929242829,878679.2176474795,0.0
21240.0,-0.4891132206563197,10.513018130058963,880571.5609108901,0.0
21420.0,-0.4869982250226771,10.126563843145668,882394.3424026563,0.0
21600.0,-0.48456688653527336,9.74815788926137,884149.0108227234,0.0
21780.0,-0.4818308930597642,9.377726105987787,885837.0015218012,0.0
21960.0,-0.47880162424247813,9.015192353624137,887459.7361454535,0.0
22140.0,-0.47549015004651046,8.660478526025846,889018.6222801382,0.0
22320.0,-0.4719072293122073,8.313504561676842,890515.0531012401,0.0
22500.0,-0.4680633083597873,7.974188455253845,891950.4070231857,0.0
22680.0,-0.46396851965283775,7.642446269948864,893326.0473517765,0.0
22860.0,-0.4596326805423734,7.318192150823729,894643.3219389247,0.0
23040.0,-0.4550652921120778,7.001338339477208,895903.5628400306,0.0
23220.0,-0.4502755381462331,6.691795190310963,897108.0859742867,0.0
23400.0,-0.44527228424266635,6.389471188685732,898258.1907882501,0.0
23580.0,-0.4400640770938193,6.094272971262937,899355.1599230774,0.0
