t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,0.0,9.600000000000009,0.0,0.0
180.0,-0.3657241679141521,8.797850877639197,1583.6131579750554,0.0
360.0,-0.5443620030150422,8.43612256936841,3102.115220461369,0.0
540.0,-0.670710845569639,8.194517623016933,4577.128392604417,0.0
720.0,-0.7727907630119386,8.0066610497951,6018.327381567535,0.0
900.0,-0.8603204351471377,7.849673896597752,7431.26868295513,0.0
1080.0,-0.9378138581872225,7.713011433011206,8819.610740897147,0.0
1260.0,-1.0077373276975718,7.590968244916045,10185.985024982036,0.0
1440.0,-1.0716011769523694,7.480089304081893,11532.401099716777,0.0
1620.0,-1.1304212035879744,7.378075472935208,12860.454684845114,0.0
1800.0,-1.184935698725461,7.283268829168315,14171.44307409541,0.0
1980.0,-1.2357144169709262,7.194395008487837,15466.43417562322,0.0
2160.0,-1.2832162155368296,7.110427989865449,16746.311213799003,0.0
2340.0,-1.327821240155842,7.030515684160708,18011.80403694793,0.0
2520.0,-1.3698500787093517,6.953936595030517,19263.512624053423,0.0
2700.0,-1.4095760227319984,6.880072789289542,20501.92572612554,0.0
2880.0,-1.4472335335458664,6.8083917113490005,21727.43623416836,0.0
3060.0,-1.4830245037239427,6.738433010061492,22940.354175979428,0.0
3240.0,-1.5171231494828115,6.669798378060744,24140.91788403036,0.0
3420.0,-1.5496799870328999,6.6021433351056436,25329.303684349376,0.0
3600.0,-1.5808251498064883,6.53517036456532,26505.634349971133,0.0
3780.0,-1.6106712012929714,6.46862305985473,27669.986500744984,0.0
3960.0,-1.6393155436120561,6.402281068255811,28822.39709303103,0.0
4140.0,-1.6668424916681566,6.335955690303915,29962.869117285736,0.0
4320.0,-1.6933250650150644,6.269486032793184,31091.37660318851,0.0
4500.0,-1.718826538478281,6.2027356372132,32207.869017886886,0.0
4680.0,-1.743401785108877,6.135589520610062,33312.275131596696,0.0
4860.0,-1.7670984396234517,6.067951576328521,34404.50641533583,0.0
5040.0,-1.7899579063086524,5.999742289842634,35484.460027507506,0.0
5220.0,-1.812016232001933,5.930896730970413,36552.02143908218,0.0
5400.0,-1.8333048619615717,5.861362788759951,37607.06674105897,0.0
5580.0,-1.8538512940670044,5.791099619546735,38649.46467257738,0.0
5760.0,-1.8736796447564004,5.720076282301644,39679.07840339167,0.0
5940.0,-1.8928111383518684,5.648270538531564,40695.76710032735,0.0
6120.0,-1.911264529899917,5.575667796743555,41699.38730374119,0.0
6300.0,-1.929056470331734,5.5022601838932,42689.79413684196,0.0
6480.0,-1.9462018215970502,5.42804572835751,43666.842367946316,0.0
6660.0,-1.9627139284238069,5.353027640837766,44630.387343297116,0.0
6840.0,-1.9786048524840512,5.277213681239415,45580.28580592021,0.0
7020.0,-1.993885573987606,5.2006156010226805,46516.39661410429,0.0
7200.0,-2.008566165064629,5.123248651790561,47438.58137142659,0.0
7380.0,-2.0226559387234295,5.045131152002613,48346.70497878706,0.0
7560.0,-2.0361635766699924,4.966284104689542,49240.63611763118,0.0
7740.0,-2.0490972388407656,4.886730859912687,50120.24767241546,0.0
7920.0,-2.061464657122245,4.806496816476615,50985.41709938125,0.0
8100.0,-2.0732732154021987,4.725609158075201,51836.02674783479,0.0
8280.0,-2.08453001781182,4.644096619642893,52671.96413937051,0.0
8460.0,-2.0952419467699674,4.561989280201949,53493.12220980686,0.0
8640.0,-2.1054157122252364,4.4793183789533195,54299.39951801846,0.0
8820.0,-2.1150578933044564,4.396116151759401,55090.70042533515,0.0
9000.0,-2.124174973413911,4.3124156855189995,55866.935248728565,0.0
