t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,0.0,19.200000000000017,0.0,0.0
180.0,-0.37378436453263175,17.556675225349327,3160.201540562879,0.0
360.0,-0.5108230294929639,17.03604068244387,6226.6888634027755,0.0
540.0,-0.5893198747549863,16.789929285097006,9248.876134720236,0.0
720.0,-0.646494668716338,16.64066581085452,12244.19598067405,0.0
900.0,-0.695176247790176,16.526528919617647,15218.971186205228,0.0
1080.0,-0.7402404742019403,16.423826767759635,18175.260004401964,0.0
1260.0,-0.7835760857045319,16.323270678165994,21113.44872647184,0.0
1440.0,-0.8259161276784095,16.22119611508391,24033.264027186946,0.0
1620.0,-0.8675430989288088,16.11615412790146,26934.17177020921,0.0
1800.0,-0.9085635196774554,16.007572731325602,29815.534861847817,0.0
1980.0,-0.9490152148960859,15.895229343260683,32676.67614363474,0.0
2160.0,-0.9889092789006343,15.779042627557466,35516.903816595084,0.0
2340.0,-1.028246494228426,15.658990316843067,38335.52207362684,0.0
2520.0,-1.0670237560366402,15.535076736209355,41131.83588614452,0.0
2700.0,-1.1052365866635558,15.407319927705567,43905.153473131526,0.0
2880.0,-1.1428801210314659,15.27574649927075,46654.78784300026,0.0
3060.0,-1.1799494940841264,15.140389514098434,49380.05795553798,0.0
3240.0,-1.2164399943428759,15.001287574177551,52080.28971888994,0.0
3420.0,-1.2523471258702434,14.858484370858909,54754.81690564454,0.0
3600.0,-1.2876666342254033,14.712028416384701,57402.98202059379,0.0
3780.0,-1.3223945181175867,14.561972844071658,60024.13713252669,0.0
3960.0,-1.3565270352329841,14.408375233238205,62617.64467450957,0.0
4140.0,-1.3900607055462952,14.25129744187538,65182.87821404714,0.0
4320.0,-1.4229923134135636,14.090805440638388,67719.22319336205,0.0
4500.0,-1.4553189089575294,13.926969145888808,70226.07763962203,0.0
4680.0,-1.487037808950897,13.759862251141392,72702.85284482749,0.0
4860.0,-1.5181465972839936,13.589562056903336,75148.97401507008,0.0
5040.0,-1.5486431250571966,13.41614929913569,77563.8808889145,0.0
5220.0,-1.5785255103207252,13.239707976652724,79947.028324712,0.0
5400.0,-1.60779213747765,13.060325177805018,82297.8868567169,0.0
5580.0,-1.6364416563634505,12.878090906792513,84615.94321993955,0.0
5760.0,-1.6644729810145769,12.693097909948209,86900.70084373023,0.0
5940.0,-1.691885288138212,12.505441502321817,89151.68031414815,0.0
6120.0,-1.7186780152953465,12.315219394878687,91368.41980522631,0.0
6300.0,-1.7448508588092924,12.122531522616873,93550.47547929734,0.0
6480.0,-1.7704037714117566,11.927479873889055,95697.42185659737,0.0
6660.0,-1.7953369596385682,11.730168321201612,97808.85215441366,0.0
6840.0,-1.8196508809870946,11.530702453748274,99884.37859608835,0.0
7020.0,-1.8433462408473187,11.329189411919522,101923.63269023386,0.0
7200.0,-1.8664239892184022,11.125737724014256,103926.26548055642,0.0
7380.0,-1.8888853172224627,10.920457145364246,105891.94776672199,0.0
7560.0,-1.9107316534271104,10.713458500066368,107820.37029673393,0.0
7740.0,-1.931964659988057,10.504853525503021,109711.24393132448,0.0
7920.0,-1.9525862286229858,10.294754719814886,111564.29978089116,0.0
8100.0,-1.9725984764275544,10.083275192476052,113379.28931553685,0.0
8280.0,-1.9920037415442065,9.87052851810652,115155.98444879602,0.0
8460.0,-2.010804578694168,9.65662859364274,116894.17759565171,0.0
8640.0,-2.029003754582761,9.441689498972519,118593.68170546676,0.0
8820.0,-2.046604243187827,9.225825361127553,120254.33027046973,0.0
9000.0,-2.063609220940791,9.009150222112842,121875.97731045003,0.0
9180.0,-2.080022061809574,8.791777910439741,123458.4973343292,0.0
9360.0,-2.0958463322922083,8.573821916417202,125001.78527928429,0.0
9540.0,-2.1110857863297388,8.355395271243465,126505.75642810811,0.0
9720.0,-2.1257443601466233,8.136610429929158,127970.34630549536,0.0
9900.0,-2.139826167026538,7.917579158072033,129395.51055394833,0.0
10080.0,-2.153335492031126,7.698412422493089,130781.2247899971,0.0
10260.0,-2.166276786668937,7.4792202857338514,132127.4844414292,0.0
10440.0,-2.1786546635214354,7.260111804405841,133434.30456622224,0.0
10620.0,-2.190473890832658,7.041194931373436,134701.71965386946,0.0
10800.0,-2.2017393870687347,6.82257642174486,135929.78340978353,0.0
10980.0,-2.212456215453202,6.604361742636535,137118.56852345812,0.0
11160.0,-2.222629578483688,6.386654986670595,138268.16642105882,0.0
11340.0,-2.2322648124352824,6.169558789157669,139378.6870031072,0.0
11520.0,-2.2413673818555373,5.953174248911965,140450.25836791133,0.0
11700.0,-2.2499428740558227,5.7376008526395506,141483.02652138646,0.0
11880.0,-2.2579969936034026,5.522936402836639,142477.15507389707,0.0
12060.0,-2.2655355568183735,5.309276949129459,143432.82492474036,0.0
12240.0,-2.272564486279316,5.09671672298436,144350.23393487756,0.0
12420.0,-2.2790898053412456,4.8853480757126775,145229.59658850584,0.0
12600.0,-2.28511763266923,4.675261419692763,146071.14364405055,0.0
12780.0,-2.290654176790783,4.466545172728505,146875.12177514168,0.0
12960.0,-2.2957057306699094,4.259285705462681,147641.79320212497,0.0
13140.0,-2.300278666305519,4.053567291761029,148371.43531464195,0.0
13320.0,-2.304379429356652,3.8494720619829295,149064.34028579888,0.0
13500.0,-2.3080145337968383,3.6470799590532788,149720.81467842846,0.0
13680.0,-2.31119055659972,3.446468697250183,150341.1790439335,0.0
13860.0,-2.3139141324578674,3.2477137236238294,150925.76751418578,0.0
14040.0,-2.316191948536632,3.0508881819615796,151474.92738693886,0.0
14220.0,-2.3180307392647057,2.856062879216136,151989.01870519776,0.0
14400.0,-2.3194372811629753,2.663306254314295,152468.41383097434,0.0
14580.0,-2.3204183877130573,2.472684349266193,152913.49701384225,0.0
14760.0,-2.320980904266962,2.2842607824958545,153324.6639546915,0.0
14940.0,-2.321131702999104,2.0980967243170703,153702.32136506858,0.0
15120.0,-2.320877677901877,1.914250874480762,154046.8865224751,0.0
15300.0,-2.320225739825978,1.7327794417223779,154358.78682198512,0.0
15480.0,-2.3191828115665563,1.5537361252417148,154638.45932452864,0.0
15660.0,-2.3177558229963187,1.3771720980499234,154886.35030217763,0.0
15840.0,-2.3159517062466137,1.2031359921225657,155102.9147807597,0.0
16020.0,-2.313777390937609,1.0316738853008718,155288.61608011383,0.0
16200.0,-2.311239799458584,0.8628292898873404,155443.92535229356,0.0
16380.0,-2.3083458422994796,0.6966431428857328,155569.321118013,0.0
16560.0,-2.3051024134348124,0.5331537978396278,155665.28880162415,0.0
16740.0,-2.301516385761121,0.3723970182280333,155732.3202649052,0.0
16920.0,-2.2975946065891883,0.21440597238088832,155770.91333993376,0.0
17100.0,-2.2933438931923047,0.059211229881741254,155781.57136131247,0.0
17280.0,-2.2887710284119764,-0.093159240570559,155764.80269800976,0.0
17460.0,-2.2838827563224946,-0.24268007186464072,155721.12028507414,0.0
17640.0,-2.278685777955939,-0.38932849776278033,155651.04115547685,0.0
17820.0,-2.2731867470892646,-0.5330843507846257,155555.08597233563,0.0
18000.0,-2.2673922660952353,-0.6739300586980272,155433.77856176998,0.0
18180.0,-2.2613088818590747,-0.811850639621513,155287.6454466381,0.0
18360.0,-2.254943081762895,-0.9468336957388603,155117.2153814051,0.0
18540.0,-2.2483012897399814,-1.078869405620799,154923.01888839336,0.0
18720.0,-2.2413898624013013,-1.2079505151450745,154705.58779566723,0.0
18900.0,-2.2342150852366056,-1.3340723270009127,154465.45477680708,0.0
19080.0,-2.226783168892762,-1.4572326887599791,154203.1528928303,0.0
19260.0,-2.2191002455320197,-1.5774319794912808,153919.21513652185,0.0
19440.0,-2.2111723652731468,-1.6946730948935644,153614.173979441,0.0
19620.0,-2.20300549271846,-1.808961430914371,153288.5609218764,0.0
19800.0,-2.1946055035700063,-1.9203048658214759,152942.90604602854,0.0
19980.0,-2.185978181338253,-2.028713740688227,152577.73757270465,0.0
20160.0,-2.177129214146856,-2.134200838251427,152193.5814218194,0.0
20340.0,-2.1680641916372014,-2.2367813600965016,151790.96077700204,0.0
20520.0,-2.1587886019765685,-2.33647290212218,151370.39565462005,0.0
20700.0,-2.149307828973997,-2.4332954282341523,150932.4024775379,0.0
20880.0,-2.139627149307948,-2.527271242214239,150477.49365393934,0.0
21060.0,-2.1297517298701463,-2.6184249577101393,150006.17716155152,0.0
21240.0,-2.119686625230007,-2.7067834662884995,149518.9561376196,0.0
21420.0,-2.10943677522426,-2.792375903492887,149016.32847499088,0.0
21600.0,-2.099007002676466,-2.875233612847036,148498.7864246784,0.0
21780.0,-2.0884020112512336,-2.9553901077430513,147966.81620528465,0.0
21960.0,-2.0776263834480546,-3.03288103115403,147420.89761967692,0.0
22140.0,-2.066684578739754,-3.107744113110714,146861.503679317,0.0
22320.0,-2.055580931860631,-3.18001912588236,146289.10023665815,0.0
22500.0,-2.044319651249393,-3.2497478368030497,145704.1456260336,0.0
22680.0,-2.0329048176520605,-3.316973958686311,145107.09031347005,0.0
22860.0,-2.021340382890027,-3.3817430977729455,144498.37655587093,0.0
23040.0,-2.0096301687984313,-3.4441026991594765,143878.4380700222,0.0
23220.0,-1.9977778663400396,-3.504101989657892,143247.6997118838,0.0
23400.0,-1.9857870348997342,-3.5617919180408024,142606.57716663645,0.0
23580.0,-1.9736611017646521,-3.6172250926304605,141955.47664996298,0.0
23760.0,-1.9614033617949764,-3.670455716194905,141294.79462104788,0.0
23940.0,-1.9490169772901926,-3.721539518119651,140624.91750778633,0.0
24120.0,-1.9365049780555372,-3.7705336838292953,139946.22144469706,0.0
24300.0,-1.923870261673181,-3.817496781440108,139259.07202403783,0.0
24480.0,-1.9111155939824858,-3.8624886856312455,138563.8240606242,0.0
24660.0,-1.8982436097734428,-3.9055704987302655,137860.82137085276,0.0
24840.0,-1.885256813697188,-3.946804469016553,137150.3965664298,0.0
25020.0,-1.8721575813971283,-3.9862539062549276,136432.8708633039,0.0
25200.0,-1.8589481608639848,-4.023983094481148,135708.55390629728,0.0
25380.0,-1.8456306740176394,-4.060057202070514,134977.7436099246,0.0
25560.0,-1.8322071185183342,-4.094542189131142,134240.726015881,0.0
