t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,0.0,19.200000000000017,0.0,0.0
180.0,-0.8273223041410295,15.360697532507732,2764.925555851392,0.0
360.0,-1.1907803453231862,13.715307620333434,5233.68092751141,0.0
540.0,-1.420109633050037,12.697845624199534,7519.293139867326,0.0
720.0,-1.589984871362825,11.95411830856626,9671.034435409252,0.0
900.0,-1.7258430259782298,11.364081968307664,11716.56918970463,0.0
1080.0,-1.8393440706976625,10.87302921155359,13673.714447784278,0.0
1260.0,-1.936849984533835,10.451288003802075,15554.94628846865,0.0
1440.0,-2.022214158271371,10.08100661421763,17369.527479027824,0.0
1620.0,-2.0979432579720703,9.750663423987888,19124.646895345642,0.0
1800.0,-2.165761270063866,9.452404775454774,20826.0797549275,0.0
1980.0,-2.2269114255397193,9.180620119752383,22478.59137648293,0.0
2160.0,-2.2823284712357363,8.931128886297332,24086.194576016453,0.0
2340.0,-2.3327413570337483,8.700696042514105,25652.319863668992,0.0
2520.0,-2.3787364701040836,8.48673443551305,27179.93206206134,0.0
2700.0,-2.420797657815918,8.287117304263054,28671.61317682869,0.0
2880.0,-2.4593322395566637,8.100057425615486,30129.623513439477,0.0
3060.0,-2.4946883952342565,7.924027290416746,31555.94842571449,0.0
3240.0,-2.527167156118307,7.7577049109409115,32952.335309683855,0.0
3420.0,-2.557030958731412,7.599935860775262,34320.323764623405,0.0
3600.0,-2.58450996728627,7.44970575124384,35661.2707998473,0.0
3780.0,-2.609806913308306,7.306119541260744,36976.37231727423,0.0
3960.0,-2.6331009222653763,7.168385423548812,38266.68169351302,0.0
4140.0,-2.6545506257479885,7.035801861177913,39533.12602852505,0.0
4320.0,-2.6742967519227965,6.907746863659927,40776.520463983834,0.0
4500.0,-2.6924643212041692,6.783668912623607,41997.58086825608,0.0
4680.0,-2.709164532894907,6.663079147690281,43196.93511484033,0.0
4860.0,-2.7244964024939597,6.545544549340138,44375.13313372155,0.0
5040.0,-2.7385481926714013,6.430681935544018,45532.65588211948,0.0
5220.0,-2.7513986700183133,6.318152640206322,46669.923357356616,0.0
5400.0,-2.763118212409315,6.207657774827718,47787.301756825604,0.0
5580.0,-2.7737697868243805,6.098933996951745,48885.10987627692,0.0
5760.0,-2.7834098139350933,5.99174972405624,49963.62482660704,0.0
5940.0,-2.7920889331554566,5.885901742165429,51023.08714019682,0.0
6120.0,-2.799852679869733,5.781212166195901,52063.70533011208,0.0
6300.0,-2.806742084979838,5.677525714904876,53085.65995879496,0.0
6480.0,-2.8127942056366124,5.5747072679108784,54089.10726701892,0.0
6660.0,-2.818042594952062,5.472639675995771,55074.18240869816,0.0
6840.0,-2.822517717580825,5.3712217990268645,56041.00233252299,0.0
7020.0,-2.8262473172738605,5.270366748515095,56989.66834725571,0.0
7200.0,-2.829256741821311,5.170000314160596,57920.26840380462,0.0
7380.0,-2.8315692301978928,5.070059555795859,58832.87912384787,0.0
7560.0,-2.8332061661901236,4.9704915439729636,59727.56760176301,0.0
7740.0,-2.834187302310884,4.871252234084921,60604.393003898294,0.0
7920.0,-2.834530957385186,4.772305460392257,61463.4079867689,0.0
8100.0,-2.8342541908156744,4.6736220376617545,62304.65995354801,0.0
8280.0,-2.8333729562017473,4.575178959331762,63128.19216622773,0.0
8460.0,-2.8319022366879096,4.476958682211147,63934.044729025736,0.0
8640.0,-2.8298561641509883,4.37894848870816,64722.2554569932,0.0
8820.0,-2.8272481240988316,4.281139918480225,65492.86064231965,0.0
9000.0,-2.8240908479417888,4.183528262206301,66245.89572951678,0.0
9180.0,-2.8203964941101436,4.08611211091608,66981.39590948167,0.0
9360.0,-2.8161767193230713,3.9888929549732275,67699.39664137685,0.0
9540.0,-2.8114427411656018,3.8918748274090667,68399.93411031048,0.0
9720.0,-2.806205392997394,3.7950639868438043,69083.04562794237,0.0
9900.0,-2.800475172099227,3.69846863572147,69748.76998237224,0.0
10080.0,-2.7942622818582885,3.6020986700247697,70397.1477429767,0.0
10260.0,-2.7875766687003027,3.505965457033839,71028.22152524278,0.0
10440.0,-2.7804280543939,3.410081638050566,71642.03622009189,0.0
10620.0,-2.7728259642793534,3.314460953332192,72238.63919169169,0.0
10800.0,-2.7647797519088195,3.2191180867683147,72818.08044730999,0.0
10980.0,-2.7562986205276063,3.1240685280954676,73380.41278236717,0.0
11160.0,-2.7473916417749895,3.029328450678035,73925.69190348922,0.0
11340.0,-2.738067771937916,2.9349146030943243,74453.9765320462,0.0
11520.0,-2.7283358660509576,2.840844212955314,74965.32849037816,0.0
11700.0,-2.7182046901005505,2.7471349015526747,75459.81277265763,0.0
11880.0,-2.70768293156027,2.653804608084335,75937.49760211281,0.0
12060.0,-2.696779208456293,2.560871522341391,76398.45447613425,0.0
12240.0,-2.685502077137828,2.4683540248618203,76842.75820060939,0.0
12420.0,-2.67386003890572,2.376270633664867,77270.48691466906,0.0
12600.0,-2.6618615456335157,2.284639956777148,77681.72210688895,0.0
12780.0,-2.649515004498433,2.193480649848221,78076.54862386163,0.0
12960.0,-2.6368287819250176,2.102811378230709,78455.05467194316,0.0
13140.0,-2.6238112068311676,2.012650782969217,78817.33181287762,0.0
13320.0,-2.610470573254829,1.9230174502037183,79163.47495391428,0.0
13500.0,-2.596815142429542,1.833929883548206,79493.58233295295,0.0
13680.0,-2.582853144368155,1.7454064790540373,79807.75549918268,0.0
13860.0,-2.568592779006271,1.6574655024111278,80106.09928961669,0.0
14040.0,-2.5540422169500734,1.5701250680789305,80388.7218018709,0.0
14220.0,-2.5392095998672355,1.4834031200734648,80655.73436348412,0.0
14400.0,-2.524103040554292,1.3973174141676301,80907.2514980343,0.0
14580.0,-2.5087306227092747,1.311885501289049,81143.39088826632,0.0
14760.0,-2.493100400434307,1.2271247119243618,81364.2733364127,0.0
14940.0,-2.4772203974893894,1.1430521413600783,81570.02272185752,0.0
15120.0,-2.4610986063154363,1.0596846356099165,81760.7659562673,0.0
15300.0,-2.4447429868419825,0.9770387778951283,81936.63293628843,0.0
15480.0,-2.4281614650926135,0.8951308755601683,82097.75649388926,0.0
15660.0,-2.411361931599143,0.8139769473192603,82244.27234440672,0.0
15840.0,-2.394352239633777,0.733592710742044,82376.3190323403,0.0
16020.0,-2.37714020326703,0.6539935698972151,82494.03787492179,0.0
16200.0,-2.3597335952578162,0.5751946030828444,82597.5729034767,0.0
16380.0,-2.3421401447810535,0.4972105505812632,82687.07080258132,0.0
16560.0,-2.324367534997181,0.4200558023840937,82762.68084701046,0.0
16740.0,-2.3064234004671933,0.34374438584050854,82824.55483646176,0.0
16920.0,-2.2883153244162093,0.2682899531884044,82872.84702803567,0.0
17100.0,-2.270050835847984,0.1937057689343384,82907.71406644385,0.0
17280.0,-2.2516374065124887,0.12000469705374125,82929.31491191352,0.0
17460.0,-2.233082447728294,0.047199187988261865,82937.8107657514,0.0
17640.0,-2.2143933070613597,-0.024698734577987304,82933.36499352737,0.0
17820.0,-2.1955772648617,-0.09567748717671232,82916.14304583556,0.0
18000.0,-2.176641530659371,-0.16572594025718873,82886.31237658927,0.0
18180.0,-2.157593239421311,-0.23483343213603478,82844.04235880479,0.0
18360.0,-2.1384394476706667,-0.3029897831953556,82789.50419782962,0.0
18540.0,-2.119187129470461,-0.3701853103253203,82722.87084197106,0.0
18720.0,-2.09984317227374,-0.43641084160322074,82644.31689048249,0.0
18900.0,-2.0804143726426516,-0.5016577311968926,82554.01849886705,0.0
