t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,6.0,96.0000000000001,0.0,1.0
180.0,2.689051167809994,64.77313376088595,11659.164076959472,1.0
360.0,1.4291784230534905,53.020997168955134,21202.943567371396,0.0
540.0,0.7354868060724553,46.630620735551716,29596.455299770707,0.0
720.0,0.2657625677425681,42.34414300221652,37218.40104016968,0.0
900.0,0.2531331697355411,42.552921742893595,44877.92695389053,0.0
1080.0,0.24006694625547792,42.749337145971964,52572.80764016548,0.0
1260.0,0.22695759814278946,42.93696115935725,60301.46064884979,0.0
1440.0,0.21393693497102484,43.11681397866624,68062.4871650097,0.0
1620.0,0.2010318455339367,43.288880096141014,75854.48558231509,0.0
1800.0,0.18822455136108635,43.45269379654452,83675.9704656931,0.0
1980.0,0.17547977617856972,43.60760686486339,91525.3397013685,0.0
2160.0,0.1627581521859247,43.75292397938225,99400.8660176573,0.0
2340.0,0.1500229664440638,43.887973625736095,107300.7012702898,0.0
2520.0,0.13724336348583246,44.01214418248434,115222.88722313699,0.0
2700.0,0.12439557901412517,44.124900190582665,123165.36925744187,0.0
2880.0,0.11146307846381727,44.225787208824805,131126.01095503033,0.0
3060.0,0.09843610956837753,44.31443022605257,139102.60839571978,0.0
3240.0,0.08531097054203253,44.39052863872076,147092.90355068952,0.0
3420.0,0.07208917134741095,44.453849616201595,155094.5964816058,0.0
3600.0,0.058776589644880695,44.50422094011662,163105.3562508268,0.0
3780.0,0.045382676480787684,44.54152394358002,171122.8305606712,0.0
3960.0,0.03191973847671335,44.56568688929903,179144.65420074502,0.0
4140.0,0.018402306420211092,44.576678948887604,187168.4564115448,0.0
4320.0,0.004846590449210769,44.574504839447364,195191.8672826453,0.0
4500.0,-0.00872998324769092,44.559200111722745,203212.5233027554,0.0
4680.0,-0.02230916184946004,44.53082705037899,211228.07217182362,0.0
4860.0,-0.035872190009429705,44.489471130504064,219236.17697531436,0.0
5040.0,-0.049400077222292324,44.43523796845304,227234.5198096359,0.0
5220.0,-0.06287381651754846,44.36825070529558,235220.80493658912,0.0
5400.0,-0.07627456179491648,44.288647764633495,243192.76153422316,0.0
5580.0,-0.08958377027726164,44.19658093174098,251148.14610193652,0.0
5760.0,-0.1027833157175522,44.09221370680235,259084.74456916095,0.0
5940.0,-0.11585557720701535,43.97571989087904,267000.3741495192,0.0
6120.0,-0.12878350771567734,43.84728236878832,274892.8849759011,0.0
6300.0,-0.14155068586238223,43.70709205815435,282760.1615463689,0.0
6480.0,-0.15414135385901212,43.55534699842749,290600.12400608585,0.0
6660.0,-0.16654044409817187,43.392251557649,298410.72928646265,0.0
6840.0,-0.1787335964478652,43.218015738196335,306189.972119338,0.0
7020.0,-0.19070716797275478,43.03285456571887,313935.8859411674,0.0
7200.0,-0.20244823651152538,42.836987548016054,321646.5436998103,0.0
7380.0,-0.21394459929615647,42.630638192766476,329320.05857450824,0.0
7560.0,-0.22518476759483172,42.41403357484886,336954.58461798105,0.0
7740.0,-0.2361579581897142,42.187403945534314,344548.3173281772,0.0
7920.0,-0.24685408235870018,41.950982377126,352099.4941560599,0.0
8100.0,-0.257263732911993,41.705004437707956,359606.39495484735,0.0
8280.0,-0.2673781697360692,41.44970789157635,367067.3423753311,0.0
8460.0,-0.27718930421606797,41.18533242168073,374480.7022112336,0.0
8640.0,-0.28668968284005325,40.91211937103871,381844.8836980206,0.0
8820.0,-0.2958724702326487,40.63031150060951,389158.33976813033,0.0
9000.0,-0.30473143181928475,40.34015276154791,396419.5672652089,0.0
9180.0,-0.3132609162840749,40.04188808012055,403627.1071196306,0.0
9360.0,-0.321455837952805,39.73576315386214,410779.5444873258,0.0
9540.0,-0.3293116592065232,39.42202425779583,417875.50885372906,0.0
9720.0,-0.3368243730098179,39.100918059740025,424913.6741044823,0.0
9900.0,-0.3439904856202724,38.772691443890565,431892.75856438256,0.0
10080.0,-0.35080699953113315,38.43759134199861,438811.5250059423,0.0
10260.0,-0.3572713966873765,38.09586457157643,445668.78062882606,0.0
10440.0,-0.36338162200565693,37.74775768064771,452463.3770113427,0.0
10620.0,-0.3712520346922344,37.36643473528346,459189.3352636937,0.0
