t(s),Tsurface(°C),Flux(W),E(J),f_liq
0.0,0.0,9.600000000000009,0.0,0.0
180.0,-0.3517025012959089,8.831796513076785,1589.7233723538213,0.0
360.0,-0.4986320351986753,8.547789149403389,3128.3254192464315,0.0
540.0,-0.5824701718629244,8.411833866685393,4642.455515249802,0.0
720.0,-0.6387755196868623,8.339504359726652,6143.5663000006,0.0
900.0,-0.6818970552824258,8.296521147774461,7636.940106600003,0.0
1080.0,-0.7185049820492221,8.266798709116177,9124.963874240915,0.0
1260.0,-0.7517958893521605,8.242540994954693,10608.62125333276,0.0
1440.0,-0.7833106154765382,8.219937834090477,12088.210063469045,0.0
1620.0,-0.8137914871584419,8.197119383853675,13563.691552562706,0.0
1800.0,-0.843594707472495,8.173163647703774,15034.861009149387,0.0
1980.0,-0.8728897141854864,8.147612521595843,16501.431263036637,0.0
2160.0,-0.9017556677959742,8.120235537991906,17963.07365987518,0.0
2340.0,-0.9302281554568483,8.09091452652344,19419.438274649397,0.0
2520.0,-0.9583217916862554,8.059587322606214,20870.163992718517,0.0
2700.0,-0.9860411512848856,8.026220303427953,22314.883647335548,0.0
2880.0,-1.013386056230319,7.990794990130515,23753.22674555904,0.0
3060.0,-1.0403541316591034,7.9533015089388295,25184.82101716803,0.0
3240.0,-1.066942041516694,7.913735394122492,26609.293388110076,0.0
3420.0,-1.0931460861068991,7.872096017473911,28026.27067125538,0.0
3600.0,-1.118962491340919,7.828385808268901,29435.38011674378,0.0
3780.0,-1.1443875490368138,7.782609856512999,30836.249890916122,0.0
3960.0,-1.169417685226172,7.734775701299467,32228.509517150025,0.0
4140.0,-1.194049493616275,7.684893207925226,33611.79029457657,0.0
4320.0,-1.21827975213243,7.632974486977979,34985.7257022326,0.0
4500.0,-1.2421054311867286,7.579033832723686,36349.95179212286,0.0
4680.0,-1.265523697843479,7.523087669848622,37704.10757269561,0.0
4860.0,-1.2885319178933892,7.46515450330768,39047.83538329099,0.0
5040.0,-1.3111276568085046,7.405254868795776,40380.78125967423,0.0
5220.0,-1.3333086800489837,7.343411282702282,41702.59529056064,0.0
5400.0,-1.3550729529516126,7.279648191056433,43012.931964950796,0.0
5580.0,-1.376418640313967,7.213991917287498,44311.45051006255,0.0
5760.0,-1.397344105732329,7.146470608772796,45597.81521964165,0.0
5940.0,-1.4178479107246833,7.0771141822194785,46871.695772441155,0.0
6120.0,-1.4379288136572044,7.005954267959154,48132.767540673805,0.0
6300.0,-1.4575857684864946,6.9330241532484855,49380.711888258535,0.0
6480.0,-1.4768179233268202,6.858358724675334,50615.216458700095,0.0
6660.0,-1.495624618850136,6.781994409770602,51835.975452458806,0.0
6840.0,-1.5140053865259948,6.7039691179245064,53042.689893685216,0.0
7020.0,-1.531959946707996,6.6243221807041905,54235.06788621197,0.0
7200.0,-1.5494882065732591,6.543094291666663,55412.82485871197,0.0
7380.0,-1.5665902579211983,6.460327445757431,56575.6837989483,0.0
7560.0,-1.5832663748377789,6.376064878382186,57723.375477057096,0.0
7740.0,-1.5995170112312895,6.290351004235412,58855.63865781947,0.0
7920.0,-1.6153427982455597,6.203231355966139,59972.22030189338,0.0
8100.0,-1.6307445415564081,6.114752522757503,61072.87575598973,0.0
8280.0,-1.6457232185569821,6.024962088893062,62157.36893199048,0.0
8460.0,-1.6602799754375213,5.933908572379988,63225.472475018876,0.0
8640.0,-1.6744161241649187,5.841641363694308,64276.967920483854,0.0
8820.0,-1.6881331393673138,5.748210664711493,65311.645840131925,0.0
9000.0,-1.701432655128795,5.653667427880793,66329.30597715046,0.0
9180.0,-1.714316461699164,5.558063295699528,67329.75737037638,0.0
9360.0,-1.7267865021235123,5.461450540538859,68312.81846767337,0.0
9540.0,-1.7388448687962486,5.36388200487084,69278.31722855012,0.0
9720.0,-1.7504937999440322,5.265411041941915,70226.09121609967,0.0
9900.0,-1.7617356760419276,5.166091456935879,71155.98767834813,0.0
10080.0,-1.7725730161669295,5.065977448665878,72067.86361910799,0.0
10260.0,-1.7830084742928676,4.9651235518321775,72961.58585843777,0.0
10440.0,-1.7930448355305313,4.863584579879763,73837.03108281613,0.0
10620.0,-1.8026850123167253,4.761415568486961,74694.08588514378,0.0
10800.0,-1.8119320405558126,4.658671719713783,75532.64679469226,0.0
10980.0,-1.8207890757171687,4.55540834683623,76352.62029712279,0.0
11160.0,-1.8292593888918114,4.451680819890563,77153.92284470309,0.0
11340.0,-1.8373463628113802,4.347544511949068,77936.48085685393,0.0
11520.0,-1.8450534878324816,4.243054746146985,78700.23071116039,0.0
11700.0,-1.852384357889288,4.13826674347843,79445.1187249865,0.0
11880.0,-1.8593426664172092,4.033235571376869,80171.10112783434,0.0
12060.0,-1.865932202250299,3.9280160930945716,80878.14402459135,0.0
12240.0,-1.8721568454949753,3.8226629178935476,81566.2233498122,0.0
12420.0,-1.8780205633825466,3.7172303520590866,82235.32481318283,0.0
12600.0,-1.8835274061029488,3.611772350745977,82885.4438363171,0.0
12780.0,-1.888681502621979,3.506342470666018,83516.585481037,0.0
12960.0,-1.8934870564842996,3.400993823624659,84128.76436928943,0.0
13140.0,-1.8979483416043819,3.295779030913548,84722.00459485388,0.0
13320.0,-1.9020696980474994,3.1907501785650907,85296.33962699558,0.0
13500.0,-1.9058555278028455,3.0859587734745633,85851.812206221,0.0
13680.0,-1.9093102905508095,2.98145570039462,86388.47423229204,0.0
13860.0,-1.9124384994263952,2.8772911798068455,86906.38664465726,0.0
14040.0,-1.9152447167807538,2.7735147266747036,87405.61929545872,0.0
14220.0,-1.917733549942784,2.6701751100819484,87886.25081527347,0.0
14400.0,-1.919909646982732,2.567320313760918,88348.36847175044,0.0
14580.0,-1.921777692479735,2.4649974975146423,88792.06802130307,0.0
14760.0,-1.92334240329526,2.3632529595375367,89217.45355401983,0.0
14940.0,-1.9246085243543802,2.262132099639283,89624.6373319549,0.0
15120.0,-1.925580824436901,2.161679383377212,90013.7396209628,0.0
15300.0,-1.9262640919803047,2.061938307102806,90384.8885162413,0.0
15480.0,-1.9266631308966167,1.9629513639287308,90738.21976174848,0.0
15660.0,-1.9267827564052424,1.864760010623377,91073.87656366068,0.0
15840.0,-1.9266277908839606,1.7674046354407376,91392.00939804001,0.0
16020.0,-1.926203059740258,1.6709245268943058,91692.775812881,0.0
16200.0,-1.925513387305294,1.5753578434846462,91976.34022470823,0.0
16380.0,-1.9245635927528417,1.4807415843911755,92242.87370989863,0.0
16560.0,-1.9233584860456387,1.3871115611400142,92492.55379090384,0.0
16740.0,-1.9219028639116573,1.294502370260636,92725.56421755075,0.0
16920.0,-1.9202015058529,1.2029473669454331,92942.09474360093,0.0
17100.0,-1.9182591701894467,1.1124786397273791,93142.34089875186,0.0
17280.0,-1.9160805901415279,1.0231269861924264,93326.5037562665,0.0
17460.0,-1.9136704699525637,0.9349218897444198,93494.78969642048,0.0
17640.0,-1.9110334810561695,0.8478914974416965,93647.41016595998,0.0
17820.0,-1.9081742582903023,0.7620625989258812,93784.58143376664,0.0
18000.0,-1.9050973961617514,0.6774606064647408,93906.5243429303,0.0
18180.0,-1.9018074451643983,0.5941095361322903,94013.4640594341,0.0
18360.0,-1.8983089081547022,0.5120319901506992,94105.62981766123,0.0
18540.0,-1.894606236788058,0.4312491404198176,94183.2546629368,0.0
18720.0,-1.8907038280197512,0.3517807132615174,94246.57519132388,0.0
18900.0,-1.8866060206743727,0.27364497540721816,94295.83128689718,0.0
19080.0,-1.8823170920876942,0.1968587212582105,94331.26585672366,0.0
19260.0,-1.8778412548250918,0.12143726144951841,94353.12456378457,0.0
19440.0,-1.8731826534807505,0.047394412749162056,94361.65555807942,0.0
19620.0,-1.868345361561986,-0.025257510674397677,94357.10920615803,0.0
19800.0,-1.8633333784631332,-0.096507704582847,94339.73781933311,0.0
19980.0,-1.8581506265335415,-0.16634688056210556,94309.79538083193,0.0
20160.0,-1.8528009482443477,-0.23476727044466603,94267.5372721519,0.0
20340.0,-1.8472881034587472,-0.3017626292243467,94213.21999889151,0.0
20520.0,-1.8416157668106081,-0.36732823642720036,94147.10091633462,0.0
20700.0,-1.8357875251963185,-0.43146089590202963,94069.43795507225,0.0
20880.0,-1.8298068753848291,-0.49415893399375654,93980.48934695337,0.0
21060.0,-1.8236772217509256,-0.5554221960630353,93880.51335166203,0.0
21240.0,-1.8174018741367746,-0.6152520413155912,93769.76798422523,0.0
21420.0,-1.8109840458468456,-0.6736513359052433,93648.51074376228,0.0
21600.0,-1.8044268517813002,-0.7306244442751206,93516.99834379276,0.0
21780.0,-1.7977333067129626,-0.7861772187024065,93375.48644442632,0.0
21960.0,-1.7909063237129503,-0.8403169870129811,93224.22938676398,0.0
22140.0,-1.7839487127300213,-0.8930525384335604,93063.47992984594,0.0
22320.0,-1.7768631793286351,-0.9443941075504578,92893.48899048686,0.0
22500.0,-1.7696523235906536,-0.9943533563457938,92714.50538634462,0.0
22680.0,-1.7623186391855123,-1.0429433542839959,92526.77558257351,0.0
22860.0,-1.7548645126136055,-1.0901785564236999,92330.54344241724,0.0
23040.0,-1.7472922226274552,-1.136074779532649,92126.04998210137,0.0
23220.0,-1.7396039398351077,-1.18064917618595,91913.53313038789,0.0
23400.0,-1.7318017264899972,-1.2239202068311723,91693.22749315828,0.0
23580.0,-1.7238875364713486,-1.265907609807065,91465.36412339301,0.0
23760.0,-1.7158632154589213,-1.3066323693062438,91230.17029691789,0.0
23940.0,-1.70773050130567,-1.3461166812761536,90987.86929428818,0.0
24120.0,-1.6994910246116175,-1.3843839172567018,90738.68018918196,0.0
24300.0,-1.6911463095019164,-1.4214585861573945,90482.81764367364,0.0
24480.0,-1.682697774611772,-1.4573662939815422,90220.49171075696,0.0
24660.0,-1.6741467342805278,-1.4921337015099536,89951.90764448517,0.0
24840.0,-1.665494399956831,-1.5257884799617836,89677.26571809205,0.0
25020.0,-1.6567418818164135,-1.558359264655658,89396.76105045404,0.0
25200.0,-1.6478901905935743,-1.5898756066997515,89110.58344124808,0.0
25380.0,-1.6389402396270014,-1.6203679227454237,88818.9172151539,0.0
25560.0,-1.6298928471201108,-1.6498674428451117,88521.94107544178,0.0
25740.0,-1.620748738615549,-1.6784061564612687,88219.82796727875,0.0
25920.0,-1.6115085496830235,-1.7060167566796984,87912.7449510764,0.0
26100.0,-1.6021728288190573,-1.7327325826870013,87600.85308619274,0.0
26280.0,-1.592742040556719,-1.7585875605785892,87284.3073252886,0.0
26460.0,-1.583216568782803,-1.7836161425703758,86963.25641962593,0.0
26640.0,-1.5735967202593377,-1.807853244694035,86637.842835581,0.0
26820.0,-1.563882728345708,-1.8313341830625633,86308.20268262974,0.0
27000.0,-1.5540747569170337,-1.854094608799586,85974.46565304582,0.0
27180.0,-1.544172904473867,-1.8761704417326643,85636.75497353394,0.0
27360.0,-1.534177208437581,-1.8975978029576206,85295.18736900156,0.0
27540.0,-1.5240876496252487,-1.918412946387302,84949.87303865184,0.0
27720.0,-1.5139041568971143,-1.9386521894048458,84600.91564455898,0.0
27900.0,-1.5036266119691637,-1.9583518427476998,84248.41231286438,0.0
28080.0,-1.493254854382637,-1.977548139754655,83892.45364770855,0.0
28260.0,-1.482788686621729,-1.9962771651141056,83533.12375798801,0.0
28440.0,-1.4722278793700745,-2.0145747832571064,83170.50029700174,0.0
28620.0,-1.4615721768960361,-2.0324765665441973,82804.65451502378,0.0
28800.0,-1.4508213025562091,-2.0500177233995447,82435.65132481186,0.0
28980.0,-1.4399749644059907,-2.067233026550696,82063.54938003274,0.0
29160.0,-1.4290328609055207,-2.0841567415359363,81688.40116655627,0.0
29340.0,-1.4179946867087725,-2.1008225556450415,81310.25310654017,0.0
29520.0,-1.4068601385230817,-2.1172635074620634,80929.145675197,0.0
29700.0,-1.395628921025942,-2.1335119171814023,80545.11353010434,0.0
29880.0,-1.3843007528254612,-2.1495993178702717,80158.1856528877,0.0
30060.0,-1.3728753724505007,-2.165556387852089,79768.38550307431,0.0
30240.0,-1.3613525443561532,-2.18141288438597,79375.73118388484,0.0
30420.0,-1.3497320649299187,-2.1971975788176734,78980.23561969766,0.0
30600.0,-1.3380137684836824,-2.212938193376718,78581.90674488986,0.0
30780.0,-1.3261975332163813,-2.2286613397931934,78180.74770372709,0.0
30960.0,-1.3142832871320802,-2.244392459905841,77776.75706094403,0.0
31140.0,-1.3022710138980755,-2.2601557684303653,77369.92902262656,0.0
31320.0,-1.2901607586276034,-2.275974198053645,76960.2536669769,0.0
31500.0,-1.2779526335716949,-2.2918693470154454,76547.71718451413,0.0
31680.0,-1.2656468237047933,-2.307861429334534,76132.30212723391,0.0
31860.0,-1.2532435921888812,-2.323969227830746,75713.98766622438,0.0
32040.0,-1.2407432857009952,-2.3402100500883742,75292.74985720847,0.0
32220.0,-1.228146339609263,-2.35659968749953,74868.56191345856,0.0
32400.0,-1.2154532829828681,-2.3731523775187777,74441.39448550518,0.0
32580.0,-1.2026647434217033,-2.389880769252235,74011.21594703977,0.0
32760.0,-1.1897814516918461,-2.406795892495741,73577.99268639054,0.0
32940.0,-1.176804246153475,-2.423907130327603,73141.68940293157,0.0
33120.0,-1.1637340769683322,-2.4412221953515303,72702.2694077683,0.0
33300.0,-1.1505720100743975,-2.458747109675341,72259.69492802673,0.0
33480.0,-1.1373192309160582,-2.476486188700279,71813.92741406067,0.0
33660.0,-1.123977047918718,-2.494442028784785,71364.92784887941,0.0
33840.0,-1.1105468956974673,-2.5126154988350247,70912.6570590891,0.0
34020.0,-1.0970303379902178,-2.531005735862982,70457.07602663377,0.0
34200.0,-1.0834290703064633,-2.5496101445407033,69998.14620061645,0.0
34380.0,-1.069744922283653,-2.5684244007673316,69535.82980847833,0.0
34560.0,-1.05597985974402,-2.587442459253099,69070.09016581277,0.0
34740.0,-1.0421359864455886,-2.606656565112109,68600.8919840926,0.0
34920.0,-1.028215545521985,-2.626057269443413,68128.20167559278,0.0
35100.0,-1.0142209206066055,-2.645633448867279,67651.98765479667,0.0
35280.0,-1.0001546366376364,-2.6653723289714297,67172.22063558182,0.0
35460.0,-0.9860193603413752,-2.6852595116098845,66688.87392349204,0.0
35640.0,-0.9718179003922568,-2.7052790059849015,66201.92370241476,0.0
35820.0,-0.9575532072489682,-2.7254132634310286,65711.34931499718,0.0
36000.0,-0.9432283726669835,-2.7456432158088298,65217.13353615159,0.0
36180.0,-0.9288466288888169,-2.7659483174047734,64719.26283901873,0.0
36360.0,-0.9144113475142438,-2.786306590223341,64217.72765277853,0.0
36540.0,-0.89992603805366,-2.806694672547118,63712.52261172005,0.0
36720.0,-0.8853943461686874,-2.8270878706311415,63203.64679500645,0.0
36900.0,-0.8708200516050063,-2.847460213388659,62691.10395659649,0.0
37080.0,-0.8562070658232831,-2.8677845099170485,62174.90274481142,0.0
37260.0,-0.841559429334888,-2.8880324097046106,61655.05691106459,0.0
37440.0,-0.8268813087499162,-2.908174465352145,61131.5855073012,0.0
37620.0,-0.8121769935457841,-2.928180197636125,60604.513071726695,0.0
37800.0,-0.7974508925654139,-2.9480181627351736,60073.86980243436,0.0
37980.0,-0.7827075302547181,-2.9676560214358227,59539.691718575916,0.0
38160.0,-0.7679515426497179,-2.987060610129549,59002.0208087526,0.0
38340.0,-0.7531876731242589,-3.006198013409536,58460.90516633888,0.0
38520.0,-0.7384207679098217,-3.0250336380723253,57916.399111485865,0.0
38700.0,-0.7236557713994407,-3.0435322883280236,57368.56329958682,0.0
38880.0,-0.7088977212481917,-3.061658242020907,56817.46481602306,0.0
39060.0,-0.6941517432831104,-3.079375327661829,56263.17725704393,0.0
39240.0,-0.6794230462357618,-3.0966470020740093,55705.78079667061,0.0
39420.0,-0.6647169163109642,-3.1134364284546594,55145.36223954877,0.0
39600.0,-0.6500387116054354,-3.129706554656207,54582.015059710655,0.0
39780.0,-0.6353938563902947,-3.1454201914934226,54015.83942524184,0.0
39960.0,-0.6207878352715266,-3.160540090885366,53446.94220888247,0.0
40140.0,-0.6062261872425747,-3.1750290236449032,52875.43698462639,0.0
40320.0,-0.5917144996432803,-3.188849856732086,52301.44401041461,0.0
40500.0,-0.5772584020393853,-3.2019656297930634,51725.09019705186,0.0
40680.0,-0.5628635600367349,-3.2143396308108487,51146.50906350591,0.0
40860.0,-0.5485356690442348,-3.2259354707000965,50565.84067877989,0.0
41040.0,-0.534280447999457,-3.236717156684407,49983.231590576695,0.0
41220.0,-0.5201036330706055,-3.24664916430092,49398.83474100253,0.0
41400.0,-0.5060109713483144,-3.2556965078840907,48812.809369583396,0.0
41580.0,-0.4920082145404927,-3.263824809387693,48225.32090389361,0.0
41760.0,-0.4781011126831183,-3.2710003654119975,47636.54083811945,0.0
41940.0,-0.464295407879556,-3.277190212310187,47046.646599903615,0.0
42120.0,-0.4505968280805995,-3.282362189257037,46455.82140583735,0.0
42300.0,-0.43701108091704477,-3.286484999170262,45864.2541059867,0.0
42480.0,-0.42354384759618446,-3.2895282673837363,45272.139017857626,0.0
42660.0,-0.4102007768731718,-3.291462597980194,44679.67575022119,0.0
42840.0,-0.39698747910773546,-3.292259627699259,44087.06901723533,0.0
43020.0,-0.38390952041624393,-3.2918920773453983,43494.52844331315,0.0
43200.0,-0.3709724169286383,-3.290333800628739,42902.26835919998,0.0
43380.0,-0.3581816291592271,-3.287559830380217,42310.50758973154,0.0
43560.0,-0.34554255649983406,-3.283546422090776,41719.4692337552,0.0
43740.0,-0.3330605318432609,-3.278271094732507,41129.380436703344,0.0
43920.0,-0.32074081634449564,-3.27171266882798,40540.47215631431,0.0
44100.0,-0.3085885943265759,-3.2638513017416018,39952.978922000824,0.0
44280.0,-0.296608968337474,-3.254668520174592,39367.138588369395,0.0
44460.0,-0.28480695436385295,-3.2441472498529667,38783.19208339586,0.0
44640.0,-0.2731874772070055,-3.232271842404815,38201.38315176299,0.0
44820.0,-0.26175536602577704,-3.2190280994301634,37621.958093865556,0.0
45000.0,-0.2505153500507588,-3.20440329377373,37045.16550098629,0.0
45180.0,-0.2394720544735311,-3.1883861880170006,36471.25598714323,0.0
45360.0,-0.22862999651424568,-3.1709670502122838,35900.48191810502,0.0
45540.0,-0.21799358167035696,-3.1521376668871786,35333.09713806533,0.0
45720.0,-0.20756710014884103,-3.1318913533534,34769.35669446172,0.0
45900.0,-0.19735472348378733,-3.1102229613590917,34209.516561417084,0.0
46080.0,-0.1873605013408137,-3.0871288841283477,33653.83336227398,0.0
46260.0,-0.17758835850932816,-3.0626070588366323,33102.56409168339,0.0
46440.0,-0.16804209208325915,-3.036656966574245,32555.965837700023,0.0
46620.0,-0.15872536883048563,-3.0092796298544138,32014.29550432623,0.0
46800.0,-0.14964172275082852,-2.9804776077257964,31477.809534935586,0.0
46980.0,-0.1407945528221182,-2.9502549885520977,30946.76363699621,0.0
47160.0,-0.13218712093351173,-2.9186173805248203,30421.41250850174,0.0
47340.0,-0.12382255000492975,-2.885571899977248,29902.009566505836,0.0
47520.0,-0.11570382229117783,-2.851127157569979,29388.80667814324,0.0
47700.0,-0.1078337778690522,-2.8152932424203763,28882.05389450757,0.0
47880.0,-0.1002151133054644,-2.7780817042498387,28381.9991877426,0.0
48060.0,-0.09285038050438811,-2.7395055336237397,27888.888191690326,0.0
48240.0,-0.08574198573020692,-2.6995791403603993,27402.963946425454,0.0
48420.0,-0.07889218880484755,-2.6583183301858404,26924.466646992,0.0
48600.0,-0.07230310247589415,-2.6157402797116083,26453.633396643912,0.0
48780.0,-0.06597669195271783,-2.571863509813258,25990.697964877527,0.0
48960.0,-0.05991477460750654,-2.5267078574870743,25535.890550529853,0.0
49140.0,-0.054119019837950824,-2.4802944462623713,25089.437550202627,0.0
49320.0,-0.048590949088221556,-2.4326456552463234,24651.56133225829,0.0
49500.0,-0.04333193602478017,-2.3837850868775905,24222.480016620324,0.0
49680.0,-0.03834320686347487,-2.3337375334644013,23802.40726059673,0.0
49860.0,-0.033625840844305074,-2.282528942581584,23391.552050932045,0.0
50040.0,-0.02918077085018118,-2.2301863814000584,22990.118502280035,0.0
50220.0,-0.02500878416595786,-2.176738000021098,22598.305662276238,0.0
50400.0,-0.021110523373993214,-2.1222129938861407,22216.30732337673,0.0
50580.0,-0.017486487382457762,-2.0666415653316705,21844.311841617033,0.0
50760.0,-0.014137032582613365,-2.0100548843568813,21482.501962432794,0.0
50940.0,-0.011062374131277747,-1.9524850486703051,21131.054653672138,0.0
51120.0,-0.008262587354699806,-1.8939650430798762,20790.14094591776,0.0
51300.0,-0.005737609270090694,-1.8345286982889235,20459.925780225753,0.0
51480.0,-0.003487240221076928,-1.7742106491588632,20140.567863377157,0.0
51660.0,-0.0015111456233781776,-1.713046292497393,19832.219530727627,0.0
51840.0,0.00019114218295269373,-1.6510717444291294,19535.026616730385,0.0
52020.0,0.0016202219783426318,-1.588323797403495,19249.128333197757,0.0
52200.0,0.0027768216091320456,-1.5248398768928146,18974.65715535705,0.0
